た,0,0,0,助動詞,*,*,*,特殊・タイ,連用テ接続・縮約形,たい,タ,タ
ひろ,1584,1584,6818,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ひろい,ヒロ,ヒロ
かわい,1599,1599,6813,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,かわいい,カワイ,カワイ
暖か,1584,1584,5022,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,暖かい,アタタカ,アタタカ
おもしろ,1584,1584,6766,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,おもしろい,オモシロ,オモシロ
むずかし,1599,1599,6768,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,むずかしい,ムズカシ,ムズカシ
つよ,1584,1584,6765,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,つよい,ツヨ,ツヨ
まぶし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,まぶしい,マブシ,マブシ
ただし,1599,1599,6766,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,ただしい,タダシ,タダシ
恐ろし,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,恐ろしい,オソロシ,オソロシ
珍し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,珍しい,メズラシ,メズラシ
正し,1599,1599,4878,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,正しい,タダシ,タダシ
気まず,1584,1584,5022,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,気まずい,キマズ,キマズ
おもろ,1584,1584,6790,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,おもろい,オモロ,オモロ
たか,1584,1584,7344,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,たかい,タカ,タカ
ぼろ,1584,1584,6762,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ぼろい,ボロ,ボロ
大き,1599,1599,4929,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,大きい,オオキ,オーキ
長,1599,1599,5706,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,長い,ナガ,ナガ
細か,1584,1584,5023,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,細かい,コマカ,コマカ
すばらし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,すばらしい,スバラシ,スバラシ
ぬる,1584,1584,6841,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ぬるい,ヌル,ヌル
あぶな,1584,1584,6761,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,あぶない,アブナ,アブナ
切な,1584,1584,4977,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,切ない,セツナ,セツナ
すくな,1584,1584,6783,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,すくない,スクナ,スクナ
少な,1584,1584,4889,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,少ない,スクナ,スクナ
せつな,1584,1584,6761,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,せつない,セツナ,セツナ
親し,1599,1599,5028,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,親しい,シタシ,シタシ
厳し,1599,1599,5023,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,厳しい,キビシ,キビシ
美味し,1599,1599,5115,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,美味しい,オイシ,オイシ
息苦し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,息苦しい,イキグルシ,イキグルシ
くやし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,くやしい,クヤシ,クヤシ
ずる,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ずるい,ズル,ズル
何気な,1584,1584,5022,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,何気ない,ナニゲナ,ナニゲナ
すっご,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,すっごい,スッゴ,スッゴ
すご,1584,1584,6758,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,すごい,スゴ,スゴ
でっか,1584,1584,6764,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,でっかい,デッカ,デッカ
温か,1584,1584,5022,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,温かい,アタタカ,アタタカ
うっとうし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,うっとうしい,ウットウシ,ウットーシ
はげし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,はげしい,ハゲシ,ハゲシ
つめた,1584,1584,6761,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,つめたい,ツメタ,ツメタ
おっき,1599,1599,6742,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,おっきい,オッキ,オッキ
よわ,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,よわい,ヨワ,ヨワ
可愛らし,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,可愛らしい,カワイラシ,カワイラシ
にが,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,にがい,ニガ,ニガ
愛らし,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,愛らしい,アイラシ,アイラシ
だる,1584,1584,6761,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,だるい,ダル,ダル
羨まし,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,羨ましい,ウラヤマシ,ウラヤマシ
でか,1584,1584,6604,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,でかい,デカ,デカ
ものすご,1584,1584,6901,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ものすごい,モノスゴ,モノスゴ
寂し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,寂しい,サミシ,サミシ
かしこ,1584,1584,6763,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,かしこい,カシコ,カシコ
ばっち,1599,1599,6765,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,ばっちい,バッチ,バッチ
図々し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,図々しい,ズウズウシ,ズーズーシ
やわ,1584,1584,6962,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,やわい,ヤワ,ヤワ
おおき,1584,1584,6185,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,おおきい,オオキ,オーキ
苦し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,苦しい,クルシ,クルシ
あわ,1584,1584,6759,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,あわい,アワ,アワ
くだらな,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,くだらない,クダラナ,クダラナ
きよ,1584,1584,6762,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,きよい,キヨ,キヨ
酸っぱ,1584,1584,5022,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,酸っぱい,スッパ,スッパ
奥ゆかし,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,奥ゆかしい,オクユカシ,オクユカシ
ひど,1584,1584,6759,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ひどい,ヒド,ヒド
乏し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,乏しい,マズシ,マズシ
怪し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,怪しい,アヤシ,アヤシ
危な,1584,1584,5025,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,危ない,アブナ,アブナ
ひさし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,ひさしい,ヒサシ,ヒサシ
うま,1584,1584,7010,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,うまい,ウマ,ウマ
ややこし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,ややこしい,ヤヤコシ,ヤヤコシ
欲し,1599,1599,4967,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,欲しい,ホシ,ホシ
にぶ,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,にぶい,ニブ,ニブ
やす,1584,1584,6852,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,やすい,ヤス,ヤス
さむ,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,さむい,サム,サム
さびし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,さびしい,サビシ,サビシ
恥ずかし,1599,1599,5021,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,恥ずかしい,ハズカシ,ハズカシ
柔らか,1584,1584,5022,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,柔らかい,ヤワラカ,ヤワラカ
やわらか,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,柔らかい,ヤワラカ,ヤワラカ
くわし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,くわしい,クワシ,クワシ
詳し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,詳しい,クワシ,クワシ
やさし,1599,1599,6772,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,やさしい,ヤサシ,ヤサシ
優し,1599,1599,5066,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,優しい,ヤサシ,ヤサシ
難し,1599,1599,5031,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,難しい,ムズカシ,ムズカシ
早,1584,1584,5150,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,早い,ハヤ,ハヤ
速,1584,1584,5051,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,速い,ハヤ,ハヤ
はや,1584,1584,6380,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,はやい,ハヤ,ハヤ
