morpheme phrase	count
あげる こと/名詞	2
よる ./記号	28
群れる ね/名詞	1
する 奴/名詞	3
出かける って/助詞	2
入る ./記号	14
せる って/助詞	2
擦れる って/助詞	1
見る ん/名詞	11
る のに/助詞	32
入る かも/助詞	2
見る ねん/助詞	5
ある の/名詞	53
覚める もん/助詞	1
押さえる のに/助詞	1
ある こと/名詞	29
入る の/助詞	6
求める こと/名詞	2
る くらい/助詞	6
やる わけ/名詞	9
る 直線/名詞	1
ある 女子/名詞	1
とる わ/助詞	41
る 時間/名詞	10
する メリット/名詞	1
通える 距離/名詞	1
はる 人/名詞	32
作る から/助詞	3
来る の/名詞	8
入る ねん/助詞	12
開ける ./記号	1
くる けど/助詞	13
はる ./記号	55
おる し/助詞	91
来る べき/助動詞	1
持てる って/助詞	1
する ため/名詞	24
要る やん/助動詞	1
おる 地域/名詞	1
おる の/助詞	15
る 通っ/動詞	1
ある ぐらい/助詞	7
支える 女/名詞	1
る 泉大津/名詞	1
る 鳳/名詞	1
走る けど/助詞	1
すぎる よ/助詞	1
だせる とこ/名詞	1
追いかける みたい/名詞	2
ある らしい/助動詞	27
来る みたい/名詞	1
あげる わ/助詞	5
売れる よ/助詞	1
売れる かも/助詞	1
れる 感じ/名詞	2
来る わ/助詞	4
帰る とか/助詞	5
帰る わ/助詞	11
おる みたい/名詞	4
する まで/助詞	35
見せる やん/助動詞	1
破る かも/助詞	1
喋れる ねん/名詞	1
喋れる って/助詞	2
くる わ/助詞	21
取る もん/助詞	1
くれる 人/名詞	30
くる みたい/名詞	12
絡める あれ/名詞	1
くる 人/名詞	8
おる やっ/助動詞	1
おる 子/名詞	5
分かる って/助詞	4
入れる ぜ/助詞	1
やる って/助詞	22
なる 子/名詞	2
れる 子/名詞	2
やめる みたい/名詞	2
れる ぐらい/助詞	3
しゃべる とか/助詞	2
代わる みたい/名詞	1
弾ける し/助詞	1
がんばる ぞ/助詞	1
る あの/連体詞	4
れる よ/助詞	12
くれる みたい/名詞	6
る 姿/名詞	4
言える の/助詞	3
くる な/助詞	11
する 直前/名詞	2
る で/助詞	35
かぶる ./記号	2
する 時/名詞	44
帰る ん/名詞	10
帰る みたい/名詞	5
寝る で/助詞	2
寝る わ/助詞	1
いじめる とか/助詞	1
いじめる ってか/接続詞	1
いじめる ん/名詞	1
みる の/名詞	3
喋る やつ/名詞	2
観る って/助詞	1
出る 感じ/名詞	1
走る の/名詞	13
る 兄/名詞	1
入る やん/助動詞	7
分かる ねん/助詞	3
れる って/助詞	19
ある 叔母/名詞	1
する シーン/名詞	3
反する みたい/名詞	1
なる に/助詞	6
帰る の/助詞	5
交じる やん/助動詞	1
くれる よう/名詞	7
喋れる ねん/助詞	3
話せる か/助詞	1
帰る とき/名詞	10
遅れる と/助詞	2
来る から/助詞	26
走る 必要/名詞	1
来る と/助詞	10
よくなる って/助詞	1
乗り越える もの/名詞	1
来る はず/名詞	1
る な/助動詞	2
いえる けど/助詞	1
る 以上/名詞	4
ある やろ/助動詞	135
とる 意味/名詞	1
する だけ/助詞	17
行ける けど/助詞	9
できる ねん/助詞	29
いる と/助詞	16
くれる やん/助動詞	10
分かる から/助詞	5
出る みたい/名詞	3
きれる ./記号	1
る はず/名詞	17
れる やろ/助動詞	13
活かせる とこ/名詞	1
出る やん/助動詞	9
活かせる し/助詞	1
とる 親/名詞	1
ある って/助詞	44
引っ張る って/助詞	1
やる 時/名詞	9
乗せる とき/名詞	1
とる けど/助詞	58
る さあ/感動詞	1
やる ん/名詞	40
引っ張る ほう/名詞	1
とる ねん/名詞	9
とる で/助詞	39
とる し/助詞	33
れる から/助詞	55
おれる とか/助詞	1
くる わけ/名詞	28
あがる ねん/助詞	2
入れる ん/名詞	9
出来る かも/助詞	2
上げる やん/助動詞	1
れる やん/助動詞	19
キレる ね/名詞	1
詰める の/名詞	1
始める やん/助動詞	2
とまる らしい/助動詞	1
捨てる とき/名詞	1
る じゃ/助動詞	7
見える から/助詞	10
見える でしょ/助動詞	2
酔いつぶれる と/助詞	1
くれる こと/名詞	4
くれる 沙織/名詞	1
思える とき/名詞	1
来る ん/名詞	24
来る こと/名詞	3
する とこ/名詞	24
入る まで/助詞	7
ある 幼稚園/名詞	1
ある 甲東/名詞	1
作る ため/名詞	4
見回る Security/英語	1
ビビる よう/名詞	1
ある Marist/英語	1
る 言葉/名詞	6
知る こと/名詞	3
くれる 友達/名詞	2
くれる 人達/名詞	1
くれる ねん/名詞	5
る 車/名詞	6
れる みたい/名詞	9
対する 愛国心/名詞	1
来る 前/名詞	3
ある 大学/名詞	2
かかる けど/助詞	7
終わる みたい/名詞	2
なる 直前/名詞	1
