word phrase	count
なってる けど/助詞	9
なれる ん/名詞	2
押し出しできる で/助詞	1
考える と/助詞	16
なってる ん/名詞	25
聞いてる ね/助詞	1
なる やん/助動詞	88
生える か/助詞	1
する ね/名詞	32
太ってる な/助詞	3
してる な/助詞	23
成る って/助詞	2
成る の/助詞	1
わかる よう/名詞	9
なる わ/助詞	30
忘れとる や/助動詞	1
始まる やん/助動詞	2
入ってくる ねん/助詞	7
なる って/助詞	34
やる やん/助動詞	14
締めてる 状態/名詞	1
なっとる ねん/助詞	11
やる から/助詞	22
いける ぞ/助詞	1
いる ん/助詞	2
集まる でしょ/助動詞	2
いる の/名詞	5
恋する 分/名詞	1
治る な/助詞	3
開いてる な/助詞	1
だしてる よ/助詞	1
できる でしょ/助動詞	1
勝てる やろ/助動詞	1
極める か/助詞	1
固まってる の/名詞	1
知ってる 人/名詞	10
けなしてくれる から/助詞	1
切ってる やん/助動詞	1
喋る ん/名詞	5
住んてる けど/助詞	1
固まってる ねん/助詞	1
帰ってくる と/助詞	4
する でしょ/助動詞	7
やる 黒縁/名詞	1
極めてみる か/助詞	1
極めてみる ./記号	1
ある ね/助詞	28
衰える こと/名詞	1
おりる ね/名詞	1
受かる と/助詞	2
群れる ん/名詞	1
入る と/助詞	12
変える ./記号	2
喋る キャラ/名詞	1
ある 訳/名詞	8
忘れてる やん/助動詞	3
なる 分/接頭詞	1
見る 目/名詞	8
する やつ/名詞	21
呼ばれてる ./記号	2
いる な/助詞	2
見る から/助詞	4
踊ってる やつ/名詞	1
入る から/助詞	8
頑張ってみる か/助詞	1
ざんする ね/助詞	1
ふざける こと/名詞	1
違えている 人/名詞	1
怒る 人/名詞	4
できる ん/名詞	36
誤魔化してる けど/助詞	1
踊れる よう/名詞	2
考える 時間/名詞	1
ある と/助詞	82
思える し/助詞	2
もらってる し/助詞	4
もらってる か/助詞	1
楽しんでる し/助詞	2
よってる ね/助詞	1
おる ね/名詞	16
話せる の/名詞	1
話せる な/助詞	1
話せる ./記号	2
話してる ね/助詞	1
してる ん/名詞	45
付き合える わ/助詞	2
付き合える って/助詞	2
付き合える な/助詞	1
告る わ/助詞	1
思ってる のに/助詞	3
呼ばれてる から/助詞	1
やる ね/名詞	2
切れる ねん/助詞	4
撮ってる ねん/名詞	1
話してる ねん/助詞	5
出続ける ./記号	1
する 程/助詞	1
語る と/助詞	2
いる から/助詞	35
入る よ/助詞	1
なめる な/助詞	2
まとめる と/助詞	1
くれてる 訳/名詞	1
いける こと/名詞	1
生きてる けど/助詞	1
支える って/助詞	1
なってくる でしょ/助動詞	1
話してる ./記号	1
できる 訳/名詞	1
する とき/名詞	31
かかる と/助詞	4
離れてる ねん/助詞	2
できる っ/助詞	1
ゆってる けど/助詞	1
寝る の/名詞	5
食べる けど/助詞	11
減らしてる ./記号	1
太る し/助詞	1
かかる の/助詞	6
やってる みたい/名詞	6
生まれる 前/名詞	3
おる けど/助詞	54
やってる けど/助詞	17
やってる 子/名詞	10
話してる から/助詞	2
いける けど/助詞	9
出てくる ./記号	21
いる みたい/名詞	6
出る とか/助詞	5
出る って/助詞	9
いる とか/助詞	4
ある みたい/名詞	47
書ける よう/名詞	5
