ややこし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,ややこしい,ヤヤコシ,ヤヤコシ
欲し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,欲しい,ホシ,ホシ
にぶ	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,にぶい,ニブ,ニブ
やす	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,やすい,ヤス,ヤス
さむ	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,さむい,サム,サム
さびし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,さびしい,サビシ,サビシ
恥ずかし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,恥ずかしい,ハズカシ,ハズカシ
柔らか	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,柔らかい,ヤワラカ,ヤワラカ
やわらか	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,柔らかい,ヤワラカ,ヤワラカ
くわし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,くわしい,クワシ,クワシ
詳し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,詳しい,クワシ,クワシ
やさし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,やさしい,ヤサシ,ヤサシ
優し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,優しい,ヤサシ,ヤサシ
難し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,難しい,ムズカシ,ムズカシ
早	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,早い,ハヤ,ハヤ
速	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,速い,ハヤ,ハヤ
はや	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,はやい,ハヤ,ハヤ
固	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,固い,カタ,カタ
硬	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,固い,カタ,カタ
かた	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,かたい,カタ,カタ
重た	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,重たい,オモタ,オモタ
おもた	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,おもたい,オモタ,オモタ
