られや	動詞,接尾,*,*,一段,未然形・や挿入,られる,ラレヤ,ラレヤ
裁てや	動詞,自立,*,*,一段,未然形・や挿入,裁てる,タテヤ,タテヤ
括れや	動詞,自立,*,*,一段,未然形・や挿入,括れる,クビレヤ,クビレヤ
参れや	動詞,自立,*,*,一段,未然形・や挿入,参れる,マイレヤ,マイレヤ
けおされや	動詞,自立,*,*,一段,未然形・や挿入,けおされる,ケオサレヤ,ケオサレヤ
洒落れや	動詞,自立,*,*,一段,未然形・や挿入,洒落れる,シャレヤ,シャレヤ
ならびたてや	動詞,自立,*,*,一段,未然形・や挿入,ならびたてる,ナラビタテヤ,ナラビタテヤ
書き出せや	動詞,自立,*,*,一段,未然形・や挿入,書き出せる,カキダセヤ,カキダセヤ
聞きつけや	動詞,自立,*,*,一段,未然形・や挿入,聞きつける,キキツケヤ,キキツケヤ
つきはなせや	動詞,自立,*,*,一段,未然形・や挿入,つきはなせる,ツキハナセヤ,ツキハナセヤ
ませや	動詞,自立,*,*,一段,未然形・や挿入,ませる,マセヤ,マセヤ
折り込めや	動詞,自立,*,*,一段,未然形・や挿入,折り込める,オリコメヤ,オリコメヤ
ふり入れや	動詞,自立,*,*,一段,未然形・や挿入,ふり入れる,フリイレヤ,フリイレヤ
押し分けや	動詞,自立,*,*,一段,未然形・や挿入,押し分ける,オシワケヤ,オシワケヤ
見慣れや	動詞,自立,*,*,一段,未然形・や挿入,見慣れる,ミナレヤ,ミナレヤ
跳ねのけや	動詞,自立,*,*,一段,未然形・や挿入,跳ねのける,ハネノケヤ,ハネノケヤ
拒めや	動詞,自立,*,*,一段,未然形・や挿入,拒める,コバメヤ,コバメヤ
貫き通せや	動詞,自立,*,*,一段,未然形・や挿入,貫き通せる,ツラヌキトオセ,ツラヌキトーセヤ
読み切れや	動詞,自立,*,*,一段,未然形・や挿入,読み切れる,ヨミキレヤ,ヨミキレヤ
畳み込めや	動詞,自立,*,*,一段,未然形・や挿入,畳み込める,タタミコメヤ,タタミコメヤ
掛け合えや	動詞,自立,*,*,一段,未然形・や挿入,掛け合える,カケアエヤ,カケアエヤ
ほぐせや	動詞,自立,*,*,一段,未然形・や挿入,ほぐせる,ホグセヤ,ホグセヤ
まびけや	動詞,自立,*,*,一段,未然形・や挿入,まびける,マビケヤ,マビケヤ
締めつけや	動詞,自立,*,*,一段,未然形・や挿入,締めつける,シメツケヤ,シメツケヤ
受けや	動詞,自立,*,*,一段,未然形・や挿入,受ける,ウケヤ,ウケヤ
漕げや	動詞,自立,*,*,一段,未然形・や挿入,漕げる,コゲヤ,コゲヤ
相入れや	動詞,自立,*,*,一段,未然形・や挿入,相入れる,アイイレヤ,アイイレヤ
