られや	動詞,接尾,*,*,一段,未然形・や挿入,られる,ラレヤ,ラレヤ
流れ落ちや	動詞,自立,*,*,一段,未然形・や挿入,流れ落ちる,ナガレオチヤ,ナガレオチヤ
聞こえや	動詞,自立,*,*,一段,未然形・や挿入,聞こえる,キコエヤ,キコエヤ
変じや	動詞,自立,*,*,一段,未然形・や挿入,変じる,ヘンジヤ,ヘンジヤ
引入れや	動詞,自立,*,*,一段,未然形・や挿入,引入れる,ヒキイレヤ,ヒキイレヤ
こがれや	動詞,自立,*,*,一段,未然形・や挿入,こがれる,コガレヤ,コガレヤ
組めや	動詞,自立,*,*,一段,未然形・や挿入,組める,クメヤ,クメヤ
まぎらせや	動詞,自立,*,*,一段,未然形・や挿入,まぎらせる,マギラセヤ,マギラセヤ
愛でや	動詞,自立,*,*,一段,未然形・や挿入,愛でる,メデヤ,メデヤ
濁らせや	動詞,自立,*,*,一段,未然形・や挿入,濁らせる,ニゴラセヤ,ニゴラセヤ
歌えや	動詞,自立,*,*,一段,未然形・や挿入,歌える,ウタエヤ,ウタエヤ
張上げや	動詞,自立,*,*,一段,未然形・や挿入,張上げる,ハリアゲヤ,ハリアゲヤ
ぶら下がれや	動詞,自立,*,*,一段,未然形・や挿入,ぶら下がれる,ブラサガレヤ,ブラサガレヤ
探り出せや	動詞,自立,*,*,一段,未然形・や挿入,探り出せる,サグリダセヤ,サグリダセヤ
振りかけや	動詞,自立,*,*,一段,未然形・や挿入,振りかける,フリカケヤ,フリカケヤ
磨れや	動詞,自立,*,*,一段,未然形・や挿入,磨れる,スレヤ,スレヤ
朽ち果てや	動詞,自立,*,*,一段,未然形・や挿入,朽ち果てる,クチハテヤ,クチハテヤ
誘い出せや	動詞,自立,*,*,一段,未然形・や挿入,誘い出せる,サソイダセヤ,サソイダセヤ
あやまれや	動詞,自立,*,*,一段,未然形・や挿入,あやまれる,アヤマレヤ,アヤマレヤ
落ちや	動詞,自立,*,*,一段,未然形・や挿入,落ちる,オチヤ,オチヤ
革めや	動詞,自立,*,*,一段,未然形・や挿入,革める,アラタメヤ,アラタメヤ
窘めや	動詞,自立,*,*,一段,未然形・や挿入,窘める,タシナメヤ,タシナメヤ
立後れや	動詞,自立,*,*,一段,未然形・や挿入,立後れる,タチオクレヤ,タチオクレヤ
とりしきれや	動詞,自立,*,*,一段,未然形・や挿入,とりしきれる,トリシキレヤ,トリシキレヤ
おとし入れや	動詞,自立,*,*,一段,未然形・や挿入,おとし入れる,オトシイレヤ,オトシイレヤ
かんがえだせや	動詞,自立,*,*,一段,未然形・や挿入,かんがえだせる,カンガエダセヤ,カンガエダセヤ
はじき出せや	動詞,自立,*,*,一段,未然形・や挿入,はじき出せる,ハジキダセヤ,ハジキダセヤ
働かせや	動詞,自立,*,*,一段,未然形・や挿入,働かせる,ハタラカセヤ,ハタラカセヤ
すみつけや	動詞,自立,*,*,一段,未然形・や挿入,すみつける,スミツケヤ,スミツケヤ
れや	動詞,接尾,*,*,一段,未然形・や挿入,れる,レヤ,レヤ
待ち構えや	動詞,自立,*,*,一段,未然形・や挿入,待ち構える,マチカマエヤ,マチカマエヤ
振り立てや	動詞,自立,*,*,一段,未然形・や挿入,振り立てる,フリタテヤ,フリタテヤ
もうしたてや	動詞,自立,*,*,一段,未然形・や挿入,もうしたてる,モウシタテ,モーシタテヤ
言付けや	動詞,自立,*,*,一段,未然形・や挿入,言付ける,イイツケ,イーツケヤ
言付けや	動詞,自立,*,*,一段,未然形・や挿入,言付ける,コトヅケヤ,コトヅケヤ
みかけや	動詞,自立,*,*,一段,未然形・や挿入,みかける,ミカケヤ,ミカケヤ
刺し殺せや	動詞,自立,*,*,一段,未然形・や挿入,刺し殺せる,サシコロセヤ,サシコロセヤ
摺り抜けや	動詞,自立,*,*,一段,未然形・や挿入,摺り抜ける,スリヌケヤ,スリヌケヤ
繰寄せや	動詞,自立,*,*,一段,未然形・や挿入,繰寄せる,クリヨセヤ,クリヨセヤ
結わえ付けや	動詞,自立,*,*,一段,未然形・や挿入,結わえ付ける,ユワエツケヤ,ユワエツケヤ
彫り上げや	動詞,自立,*,*,一段,未然形・や挿入,彫り上げる,ホリアゲヤ,ホリアゲヤ
とらわれや	動詞,自立,*,*,一段,未然形・や挿入,とらわれる,トラワレヤ,トラワレヤ
つづけや	動詞,非自立,*,*,一段,未然形・や挿入,つづける,ツヅケヤ,ツヅケヤ
なすりつけや	動詞,自立,*,*,一段,未然形・や挿入,なすりつける,ナスリツケヤ,ナスリツケヤ
追詰めや	動詞,自立,*,*,一段,未然形・や挿入,追詰める,オイツメヤ,オイツメヤ
出来や	動詞,自立,*,*,一段,未然形・や挿入,出来る,デキヤ,デキヤ
うめたてや	動詞,自立,*,*,一段,未然形・や挿入,うめたてる,ウメタテヤ,ウメタテヤ
とりつけや	動詞,自立,*,*,一段,未然形・や挿入,とりつける,トリツケヤ,トリツケヤ
魘されや	動詞,自立,*,*,一段,未然形・や挿入,魘される,ウナサレヤ,ウナサレヤ
塗立てや	動詞,自立,*,*,一段,未然形・や挿入,塗立てる,ヌリタテヤ,ヌリタテヤ
受け取れや	動詞,自立,*,*,一段,未然形・や挿入,受け取れる,ウケトレヤ,ウケトレヤ
そこねや	動詞,自立,*,*,一段,未然形・や挿入,そこねる,ソコネヤ,ソコネヤ
じょうじや	動詞,自立,*,*,一段,未然形・や挿入,じょうじる,ジョウジ,ジョージヤ
通じや	動詞,自立,*,*,一段,未然形・や挿入,通じる,ツウジ,ツージヤ
病めや	動詞,自立,*,*,一段,未然形・や挿入,病める,ヤメヤ,ヤメヤ
ひきとめや	動詞,自立,*,*,一段,未然形・や挿入,ひきとめる,ヒキトメヤ,ヒキトメヤ
たちむかえや	動詞,自立,*,*,一段,未然形・や挿入,たちむかえる,タチムカエヤ,タチムカエヤ
ふみとどまれや	動詞,自立,*,*,一段,未然形・や挿入,ふみとどまれる,フミトドマレヤ,フミトドマレヤ
ひきいれや	動詞,自立,*,*,一段,未然形・や挿入,ひきいれる,ヒキイレヤ,ヒキイレヤ
捩れや	動詞,自立,*,*,一段,未然形・や挿入,捩れる,ネジレヤ,ネジレヤ
捩れや	動詞,自立,*,*,一段,未然形・や挿入,捩れる,ヨジレヤ,ヨジレヤ
くいあらためや	動詞,自立,*,*,一段,未然形・や挿入,くいあらためる,クイアラタメヤ,クイアラタメヤ
のりこせや	動詞,自立,*,*,一段,未然形・や挿入,のりこせる,ノリコセヤ,ノリコセヤ
ひかされや	動詞,自立,*,*,一段,未然形・や挿入,ひかされる,ヒカサレヤ,ヒカサレヤ
詰め掛けや	動詞,自立,*,*,一段,未然形・や挿入,詰め掛ける,ツメカケヤ,ツメカケヤ
結えや	動詞,自立,*,*,一段,未然形・や挿入,結える,ユワエヤ,ユワエヤ
戯けや	動詞,自立,*,*,一段,未然形・や挿入,戯ける,タワケヤ,タワケヤ
おれあえや	動詞,自立,*,*,一段,未然形・や挿入,おれあえる,オレアエヤ,オレアエヤ
踏みとどまれや	動詞,自立,*,*,一段,未然形・や挿入,踏みとどまれる,フミトドマレヤ,フミトドマレヤ
凌げや	動詞,自立,*,*,一段,未然形・や挿入,凌げる,シノゲヤ,シノゲヤ
曇らせや	動詞,自立,*,*,一段,未然形・や挿入,曇らせる,クモラセヤ,クモラセヤ
わりもどせや	動詞,自立,*,*,一段,未然形・や挿入,わりもどせる,ワリモドセヤ,ワリモドセヤ
保ち合えや	動詞,自立,*,*,一段,未然形・や挿入,保ち合える,タモチアエヤ,タモチアエヤ
出過ぎや	動詞,自立,*,*,一段,未然形・や挿入,出過ぎる,デスギヤ,デスギヤ
張り裂けや	動詞,自立,*,*,一段,未然形・や挿入,張り裂ける,ハリサケヤ,ハリサケヤ
もりこめや	動詞,自立,*,*,一段,未然形・や挿入,もりこめる,モリコメヤ,モリコメヤ
媚びや	動詞,自立,*,*,一段,未然形・や挿入,媚びる,コビヤ,コビヤ
卑しめや	動詞,自立,*,*,一段,未然形・や挿入,卑しめる,イヤシメヤ,イヤシメヤ
寝違えや	動詞,自立,*,*,一段,未然形・や挿入,寝違える,ネチガエヤ,ネチガエヤ
うちけせや	動詞,自立,*,*,一段,未然形・や挿入,うちけせる,ウチケセヤ,ウチケセヤ
問いかけや	動詞,自立,*,*,一段,未然形・や挿入,問いかける,トイカケヤ,トイカケヤ
うちころせや	動詞,自立,*,*,一段,未然形・や挿入,うちころせる,ウチコロセヤ,ウチコロセヤ
かきあわせや	動詞,自立,*,*,一段,未然形・や挿入,かきあわせる,カキアワセヤ,カキアワセヤ
はりだせや	動詞,自立,*,*,一段,未然形・や挿入,はりだせる,ハリダセヤ,ハリダセヤ
刷れや	動詞,自立,*,*,一段,未然形・や挿入,刷れる,スレヤ,スレヤ
到れや	動詞,自立,*,*,一段,未然形・や挿入,到れる,イタレヤ,イタレヤ
看や	動詞,自立,*,*,一段,未然形・や挿入,看る,ミヤ,ミヤ
くりあわせや	動詞,自立,*,*,一段,未然形・や挿入,くりあわせる,クリアワセヤ,クリアワセヤ
売り飛ばせや	動詞,自立,*,*,一段,未然形・や挿入,売り飛ばせる,ウリトバセヤ,ウリトバセヤ
引締めや	動詞,自立,*,*,一段,未然形・や挿入,引締める,ヒキシメヤ,ヒキシメヤ
おいだせや	動詞,自立,*,*,一段,未然形・や挿入,おいだせる,オイダセヤ,オイダセヤ
うえや	動詞,自立,*,*,一段,未然形・や挿入,うえる,ウエヤ,ウエヤ
そいとげや	動詞,自立,*,*,一段,未然形・や挿入,そいとげる,ソイトゲヤ,ソイトゲヤ
いわえや	動詞,自立,*,*,一段,未然形・や挿入,いわえる,イワエヤ,イワエヤ
おきかえや	動詞,自立,*,*,一段,未然形・や挿入,おきかえる,オキカエヤ,オキカエヤ
わきでや	動詞,自立,*,*,一段,未然形・や挿入,わきでる,ワキデヤ,ワキデヤ
掘り出せや	動詞,自立,*,*,一段,未然形・や挿入,掘り出せる,ホリダセヤ,ホリダセヤ
うきでや	動詞,自立,*,*,一段,未然形・や挿入,うきでる,ウキデヤ,ウキデヤ
変りはてや	動詞,自立,*,*,一段,未然形・や挿入,変りはてる,カワリハテヤ,カワリハテヤ
のりかけや	動詞,自立,*,*,一段,未然形・や挿入,のりかける,ノリカケヤ,ノリカケヤ
とけ込めや	動詞,自立,*,*,一段,未然形・や挿入,とけ込める,トケコメヤ,トケコメヤ
きりわすれや	動詞,自立,*,*,一段,未然形・や挿入,きりわすれる,キリワスレヤ,キリワスレヤ
與えや	動詞,自立,*,*,一段,未然形・や挿入,與える,アタエヤ,アタエヤ
うつしとれや	動詞,自立,*,*,一段,未然形・や挿入,うつしとれる,ウツシトレヤ,ウツシトレヤ
かんじとれや	動詞,自立,*,*,一段,未然形・や挿入,かんじとれる,カンジトレヤ,カンジトレヤ
化けや	動詞,自立,*,*,一段,未然形・や挿入,化ける,バケヤ,バケヤ
掘りさげや	動詞,自立,*,*,一段,未然形・や挿入,掘りさげる,ホリサゲヤ,ホリサゲヤ
切り倒せや	動詞,自立,*,*,一段,未然形・や挿入,切り倒せる,キリタオセヤ,キリタオセヤ
締め付けや	動詞,自立,*,*,一段,未然形・や挿入,締め付ける,シメツケヤ,シメツケヤ
触れ込めや	動詞,自立,*,*,一段,未然形・や挿入,触れ込める,フレコメヤ,フレコメヤ
説伏せや	動詞,自立,*,*,一段,未然形・や挿入,説伏せる,トキフセヤ,トキフセヤ
追い込めや	動詞,自立,*,*,一段,未然形・や挿入,追い込める,オイコメヤ,オイコメヤ
うらづけや	動詞,自立,*,*,一段,未然形・や挿入,うらづける,ウラヅケヤ,ウラヅケヤ
のりだせや	動詞,自立,*,*,一段,未然形・や挿入,のりだせる,ノリダセヤ,ノリダセヤ
詠めや	動詞,自立,*,*,一段,未然形・や挿入,詠める,ヨメヤ,ヨメヤ
補えや	動詞,自立,*,*,一段,未然形・や挿入,補える,オギナエヤ,オギナエヤ
滅びや	動詞,自立,*,*,一段,未然形・や挿入,滅びる,ホロビヤ,ホロビヤ
損じや	動詞,自立,*,*,一段,未然形・や挿入,損じる,ソンジヤ,ソンジヤ
つきだせや	動詞,自立,*,*,一段,未然形・や挿入,つきだせる,ツキダセヤ,ツキダセヤ
張りつけや	動詞,自立,*,*,一段,未然形・や挿入,張りつける,ハリツケヤ,ハリツケヤ
読み流せや	動詞,自立,*,*,一段,未然形・や挿入,読み流せる,ヨミナガセヤ,ヨミナガセヤ
ちからづけや	動詞,自立,*,*,一段,未然形・や挿入,ちからづける,チカラヅケヤ,チカラヅケヤ
あずけや	動詞,自立,*,*,一段,未然形・や挿入,あずける,アズケヤ,アズケヤ
そなえつけや	動詞,自立,*,*,一段,未然形・や挿入,そなえつける,ソナエツケヤ,ソナエツケヤ
たけや	動詞,自立,*,*,一段,未然形・や挿入,たける,タケヤ,タケヤ
くばりあるけや	動詞,自立,*,*,一段,未然形・や挿入,くばりあるける,クバリアルケヤ,クバリアルケヤ
折重ねや	動詞,自立,*,*,一段,未然形・や挿入,折重ねる,オリカサネヤ,オリカサネヤ
とりのぞけや	動詞,自立,*,*,一段,未然形・や挿入,とりのぞける,トリノゾケヤ,トリノゾケヤ
吹分けや	動詞,自立,*,*,一段,未然形・や挿入,吹分ける,フキワケヤ,フキワケヤ
やけや	動詞,自立,*,*,一段,未然形・や挿入,やける,ヤケヤ,ヤケヤ
たびだてや	動詞,自立,*,*,一段,未然形・や挿入,たびだてる,タビダテヤ,タビダテヤ
しょぼくれや	動詞,自立,*,*,一段,未然形・や挿入,しょぼくれる,ショボクレヤ,ショボクレヤ
挿せや	動詞,自立,*,*,一段,未然形・や挿入,挿せる,サセヤ,サセヤ
たきつけや	動詞,自立,*,*,一段,未然形・や挿入,たきつける,タキツケヤ,タキツケヤ
起き出せや	動詞,自立,*,*,一段,未然形・や挿入,起き出せる,オキダセヤ,オキダセヤ
探せや	動詞,自立,*,*,一段,未然形・や挿入,探せる,サガセヤ,サガセヤ
掘下げや	動詞,自立,*,*,一段,未然形・や挿入,掘下げる,ホリサゲヤ,ホリサゲヤ
引き下げや	動詞,自立,*,*,一段,未然形・や挿入,引き下げる,ヒキサゲヤ,ヒキサゲヤ
食べや	動詞,自立,*,*,一段,未然形・や挿入,食べる,タベヤ,タベヤ
湿気や	動詞,自立,*,*,一段,未然形・や挿入,湿気る,シケヤ,シケヤ
ながれおちや	動詞,自立,*,*,一段,未然形・や挿入,ながれおちる,ナガレオチヤ,ナガレオチヤ
振り放け見みや	動詞,自立,*,*,一段,未然形・や挿入,振り放け見みる,フリサケミヤ,フリサケミヤ
牽けや	動詞,自立,*,*,一段,未然形・や挿入,牽ける,ヒケヤ,ヒケヤ
塗りつぶせや	動詞,自立,*,*,一段,未然形・や挿入,塗りつぶせる,ヌリツブセヤ,ヌリツブセヤ
馬鹿げや	動詞,自立,*,*,一段,未然形・や挿入,馬鹿げる,バカゲヤ,バカゲヤ
あこがれや	動詞,自立,*,*,一段,未然形・や挿入,あこがれる,アコガレヤ,アコガレヤ
憎めや	動詞,自立,*,*,一段,未然形・や挿入,憎める,ニクメヤ,ニクメヤ
従えや	動詞,自立,*,*,一段,未然形・や挿入,従える,シタガエヤ,シタガエヤ
漕ぎ着けや	動詞,自立,*,*,一段,未然形・や挿入,漕ぎ着ける,コギツケヤ,コギツケヤ
襲われや	動詞,自立,*,*,一段,未然形・や挿入,襲われる,オソワレヤ,オソワレヤ
突き飛ばせや	動詞,自立,*,*,一段,未然形・や挿入,突き飛ばせる,ツキトバセヤ,ツキトバセヤ
ことづけや	動詞,自立,*,*,一段,未然形・や挿入,ことづける,コトヅケヤ,コトヅケヤ
ずっこけや	動詞,自立,*,*,一段,未然形・や挿入,ずっこける,ズッコケヤ,ズッコケヤ
使い分けや	動詞,自立,*,*,一段,未然形・や挿入,使い分ける,ツカイワケヤ,ツカイワケヤ
はらいもどせや	動詞,自立,*,*,一段,未然形・や挿入,はらいもどせる,ハライモドセヤ,ハライモドセヤ
あぶらじみや	動詞,自立,*,*,一段,未然形・や挿入,あぶらじみる,アブラジミヤ,アブラジミヤ
伏せや	動詞,自立,*,*,一段,未然形・や挿入,伏せる,フセヤ,フセヤ
もえ出や	動詞,自立,*,*,一段,未然形・や挿入,もえ出る,モエデヤ,モエデヤ
育てあげや	動詞,自立,*,*,一段,未然形・や挿入,育てあげる,ソダテアゲヤ,ソダテアゲヤ
煮込めや	動詞,自立,*,*,一段,未然形・や挿入,煮込める,ニコメヤ,ニコメヤ
気圧されや	動詞,自立,*,*,一段,未然形・や挿入,気圧される,ケオサレヤ,ケオサレヤ
よせかけや	動詞,自立,*,*,一段,未然形・や挿入,よせかける,ヨセカケヤ,ヨセカケヤ
ぬかせや	動詞,自立,*,*,一段,未然形・や挿入,ぬかせる,ヌカセヤ,ヌカセヤ
やり遂げや	動詞,自立,*,*,一段,未然形・や挿入,やり遂げる,ヤリトゲヤ,ヤリトゲヤ
畏れや	動詞,自立,*,*,一段,未然形・や挿入,畏れる,オソレヤ,オソレヤ
よばなれや	動詞,自立,*,*,一段,未然形・や挿入,よばなれる,ヨバナレヤ,ヨバナレヤ
痩せこけや	動詞,自立,*,*,一段,未然形・や挿入,痩せこける,ヤセコケヤ,ヤセコケヤ
巡れや	動詞,自立,*,*,一段,未然形・や挿入,巡れる,メグレヤ,メグレヤ
とりひろげや	動詞,自立,*,*,一段,未然形・や挿入,とりひろげる,トリヒロゲヤ,トリヒロゲヤ
ふうじや	動詞,自立,*,*,一段,未然形・や挿入,ふうじる,フウジ,フージヤ
とがめや	動詞,自立,*,*,一段,未然形・や挿入,とがめる,トガメヤ,トガメヤ
老い耄れや	動詞,自立,*,*,一段,未然形・や挿入,老い耄れる,オイボレヤ,オイボレヤ
囚われや	動詞,自立,*,*,一段,未然形・や挿入,囚われる,トラワレヤ,トラワレヤ
なごめや	動詞,自立,*,*,一段,未然形・や挿入,なごめる,ナゴメヤ,ナゴメヤ
化かせや	動詞,自立,*,*,一段,未然形・や挿入,化かせる,バカセヤ,バカセヤ
たどりつけや	動詞,自立,*,*,一段,未然形・や挿入,たどりつける,タドリツケヤ,タドリツケヤ
聞き入れや	動詞,自立,*,*,一段,未然形・や挿入,聞き入れる,キキイレヤ,キキイレヤ
つとめや	動詞,自立,*,*,一段,未然形・や挿入,つとめる,ツトメヤ,ツトメヤ
担えや	動詞,自立,*,*,一段,未然形・や挿入,担える,ニナエヤ,ニナエヤ
おどしつけや	動詞,自立,*,*,一段,未然形・や挿入,おどしつける,オドシツケヤ,オドシツケヤ
ふくらませや	動詞,自立,*,*,一段,未然形・や挿入,ふくらませる,フクラマセヤ,フクラマセヤ
ふみわけや	動詞,自立,*,*,一段,未然形・や挿入,ふみわける,フミワケヤ,フミワケヤ
託けや	動詞,自立,*,*,一段,未然形・や挿入,託ける,カコツケヤ,カコツケヤ
託けや	動詞,自立,*,*,一段,未然形・や挿入,託ける,コトヅケヤ,コトヅケヤ
うせや	動詞,自立,*,*,一段,未然形・や挿入,うせる,ウセヤ,ウセヤ
悪たれや	動詞,自立,*,*,一段,未然形・や挿入,悪たれる,アクタレヤ,アクタレヤ
撃ち殺せや	動詞,自立,*,*,一段,未然形・や挿入,撃ち殺せる,ウチコロセヤ,ウチコロセヤ
もぎれや	動詞,自立,*,*,一段,未然形・や挿入,もぎれる,モギレヤ,モギレヤ
報いや	動詞,自立,*,*,一段,未然形・や挿入,報いる,ムクイヤ,ムクイヤ
とどけや	動詞,自立,*,*,一段,未然形・や挿入,とどける,トドケヤ,トドケヤ
ふっきれや	動詞,自立,*,*,一段,未然形・や挿入,ふっきれる,フッキレヤ,フッキレヤ
かきあげや	動詞,自立,*,*,一段,未然形・や挿入,かきあげる,カキアゲヤ,カキアゲヤ
飛び回れや	動詞,自立,*,*,一段,未然形・や挿入,飛び回れる,トビマワレヤ,トビマワレヤ
あおげや	動詞,自立,*,*,一段,未然形・や挿入,あおげる,アオゲヤ,アオゲヤ
しめや	動詞,接尾,*,*,一段,未然形・や挿入,しめる,シメヤ,シメヤ
這い出でや	動詞,自立,*,*,一段,未然形・や挿入,這い出でる,ハイデヤ,ハイデヤ
現れや	動詞,自立,*,*,一段,未然形・や挿入,現れる,アラワレヤ,アラワレヤ
親しめや	動詞,自立,*,*,一段,未然形・や挿入,親しめる,シタシメヤ,シタシメヤ
取りもてや	動詞,自立,*,*,一段,未然形・や挿入,取りもてる,トリモテヤ,トリモテヤ
かなぐり捨てや	動詞,自立,*,*,一段,未然形・や挿入,かなぐり捨てる,カナグリステヤ,カナグリステヤ
ふれあえや	動詞,自立,*,*,一段,未然形・や挿入,ふれあえる,フレアエヤ,フレアエヤ
かたまれや	動詞,自立,*,*,一段,未然形・や挿入,かたまれる,カタマレヤ,カタマレヤ
引っ込めや	動詞,自立,*,*,一段,未然形・や挿入,引っ込める,ヒッコメヤ,ヒッコメヤ
繰りあげや	動詞,自立,*,*,一段,未然形・や挿入,繰りあげる,クリアゲヤ,クリアゲヤ
事切れや	動詞,自立,*,*,一段,未然形・や挿入,事切れる,コトキレヤ,コトキレヤ
切り回せや	動詞,自立,*,*,一段,未然形・や挿入,切り回せる,キリマワセヤ,キリマワセヤ
げびや	動詞,自立,*,*,一段,未然形・や挿入,げびる,ゲビヤ,ゲビヤ
縋れや	動詞,自立,*,*,一段,未然形・や挿入,縋れる,スガレヤ,スガレヤ
しおおせや	動詞,自立,*,*,一段,未然形・や挿入,しおおせる,シオオセ,シオーセヤ
預け入れや	動詞,自立,*,*,一段,未然形・や挿入,預け入れる,アヅケイレヤ,アヅケイレヤ
引き攣れや	動詞,自立,*,*,一段,未然形・や挿入,引き攣れる,ヒキツレヤ,ヒキツレヤ
聞き合せや	動詞,自立,*,*,一段,未然形・や挿入,聞き合せる,キキアワセヤ,キキアワセヤ
振り回せや	動詞,自立,*,*,一段,未然形・や挿入,振り回せる,フリマワセヤ,フリマワセヤ
せんじつめや	動詞,自立,*,*,一段,未然形・や挿入,せんじつめる,センジツメヤ,センジツメヤ
彫り込めや	動詞,自立,*,*,一段,未然形・や挿入,彫り込める,ホリコメヤ,ホリコメヤ
乗り上げや	動詞,自立,*,*,一段,未然形・や挿入,乗り上げる,ノリアゲヤ,ノリアゲヤ
取り合えや	動詞,自立,*,*,一段,未然形・や挿入,取り合える,トリアエヤ,トリアエヤ
たちのけや	動詞,自立,*,*,一段,未然形・や挿入,たちのける,タチノケヤ,タチノケヤ
ひかれや	動詞,自立,*,*,一段,未然形・や挿入,ひかれる,ヒカレヤ,ヒカレヤ
やぶれや	動詞,自立,*,*,一段,未然形・や挿入,やぶれる,ヤブレヤ,ヤブレヤ
打直せや	動詞,自立,*,*,一段,未然形・や挿入,打直せる,ウチナオセヤ,ウチナオセヤ
いきや	動詞,自立,*,*,一段,未然形・や挿入,いきる,イキヤ,イキヤ
つぼめや	動詞,自立,*,*,一段,未然形・や挿入,つぼめる,ツボメヤ,ツボメヤ
ふりわけや	動詞,自立,*,*,一段,未然形・や挿入,ふりわける,フリワケヤ,フリワケヤ
つきやぶれや	動詞,自立,*,*,一段,未然形・や挿入,つきやぶれる,ツキヤブレヤ,ツキヤブレヤ
かけつけや	動詞,自立,*,*,一段,未然形・や挿入,かけつける,カケツケヤ,カケツケヤ
あきれや	動詞,自立,*,*,一段,未然形・や挿入,あきれる,アキレヤ,アキレヤ
取りあげや	動詞,自立,*,*,一段,未然形・や挿入,取りあげる,トリアゲヤ,トリアゲヤ
食い止めや	動詞,自立,*,*,一段,未然形・や挿入,食い止める,クイトメヤ,クイトメヤ
うりあげや	動詞,自立,*,*,一段,未然形・や挿入,うりあげる,ウリアゲヤ,ウリアゲヤ
ひきあげや	動詞,自立,*,*,一段,未然形・や挿入,ひきあげる,ヒキアゲヤ,ヒキアゲヤ
わけや	動詞,自立,*,*,一段,未然形・や挿入,わける,ワケヤ,ワケヤ
取り運べや	動詞,自立,*,*,一段,未然形・や挿入,取り運べる,トリハコベヤ,トリハコベヤ
たまりかねや	動詞,自立,*,*,一段,未然形・や挿入,たまりかねる,タマリカネヤ,タマリカネヤ
見立てや	動詞,自立,*,*,一段,未然形・や挿入,見立てる,ミタテヤ,ミタテヤ
高じや	動詞,自立,*,*,一段,未然形・や挿入,高じる,コウジ,コージヤ
惟みや	動詞,自立,*,*,一段,未然形・や挿入,惟みる,オモンミヤ,オモンミヤ
くどけや	動詞,自立,*,*,一段,未然形・や挿入,くどける,クドケヤ,クドケヤ
付き合えや	動詞,自立,*,*,一段,未然形・や挿入,付き合える,ツキアエヤ,ツキアエヤ
追い求めや	動詞,自立,*,*,一段,未然形・や挿入,追い求める,オイモトメヤ,オイモトメヤ
せめよせや	動詞,自立,*,*,一段,未然形・や挿入,せめよせる,セメヨセヤ,セメヨセヤ
放れや	動詞,自立,*,*,一段,未然形・や挿入,放れる,ハナレヤ,ハナレヤ
生れ落ちや	動詞,自立,*,*,一段,未然形・や挿入,生れ落ちる,ウマレオチヤ,ウマレオチヤ
伺えや	動詞,自立,*,*,一段,未然形・や挿入,伺える,ウカガエヤ,ウカガエヤ
絶てや	動詞,自立,*,*,一段,未然形・や挿入,絶てる,タテヤ,タテヤ
せおいこめや	動詞,自立,*,*,一段,未然形・や挿入,せおいこめる,セオイコメヤ,セオイコメヤ
あけはなれや	動詞,自立,*,*,一段,未然形・や挿入,あけはなれる,アケハナレヤ,アケハナレヤ
みぬけや	動詞,自立,*,*,一段,未然形・や挿入,みぬける,ミヌケヤ,ミヌケヤ
濡れや	動詞,自立,*,*,一段,未然形・や挿入,濡れる,ヌレヤ,ヌレヤ
泣けや	動詞,自立,*,*,一段,未然形・や挿入,泣ける,ナケヤ,ナケヤ
励ませや	動詞,自立,*,*,一段,未然形・や挿入,励ませる,ハゲマセヤ,ハゲマセヤ
入れ替えや	動詞,自立,*,*,一段,未然形・や挿入,入れ替える,イレカエヤ,イレカエヤ
ほおけや	動詞,自立,*,*,一段,未然形・や挿入,ほおける,ホオケ,ホーケヤ
照らせや	動詞,自立,*,*,一段,未然形・や挿入,照らせる,テラセヤ,テラセヤ
ねじ向けや	動詞,自立,*,*,一段,未然形・や挿入,ねじ向ける,ネジムケヤ,ネジムケヤ
えらびだせや	動詞,自立,*,*,一段,未然形・や挿入,えらびだせる,エラビダセヤ,エラビダセヤ
悔改めや	動詞,自立,*,*,一段,未然形・や挿入,悔改める,クイアラタメヤ,クイアラタメヤ
準えや	動詞,自立,*,*,一段,未然形・や挿入,準える,ナゾラエヤ,ナゾラエヤ
準えや	動詞,自立,*,*,一段,未然形・や挿入,準える,ナズラエヤ,ナズラエヤ
いいなおせや	動詞,自立,*,*,一段,未然形・や挿入,いいなおせる,イイナオセ,イーナオセヤ
呑み込めや	動詞,自立,*,*,一段,未然形・や挿入,呑み込める,ノミコメヤ,ノミコメヤ
有り合せや	動詞,自立,*,*,一段,未然形・や挿入,有り合せる,アリアワセヤ,アリアワセヤ
さとれや	動詞,自立,*,*,一段,未然形・や挿入,さとれる,サトレヤ,サトレヤ
たばねや	動詞,自立,*,*,一段,未然形・や挿入,たばねる,タバネヤ,タバネヤ
突止めや	動詞,自立,*,*,一段,未然形・や挿入,突止める,ツキトメヤ,ツキトメヤ
焼け落ちや	動詞,自立,*,*,一段,未然形・や挿入,焼け落ちる,ヤケオチヤ,ヤケオチヤ
敷き詰めや	動詞,自立,*,*,一段,未然形・や挿入,敷き詰める,シキツメヤ,シキツメヤ
色褪せや	動詞,自立,*,*,一段,未然形・や挿入,色褪せる,イロアセヤ,イロアセヤ
うちとけや	動詞,自立,*,*,一段,未然形・や挿入,うちとける,ウチトケヤ,ウチトケヤ
喩えや	動詞,自立,*,*,一段,未然形・や挿入,喩える,タトエヤ,タトエヤ
吠えや	動詞,自立,*,*,一段,未然形・や挿入,吠える,ホエヤ,ホエヤ
