引き込み	動詞,自立,*,*,五段・マ行,命令k,引き込む,ヒキコミ,ヒキコミ
にぎり	動詞,自立,*,*,五段・ラ行,命令k,にぎる,ニギリ,ニギリ
とどめ	動詞,自立,*,*,一段,命令k,とどめる,トドメ,トドメ
分け合い	動詞,自立,*,*,五段・ワ行促音便,命令k,分け合う,ワケアイ,ワケアイ
従い	動詞,自立,*,*,五段・ワ行促音便,命令k,従う,シタガイ,シタガイ
焼き上げ	動詞,自立,*,*,一段,命令k,焼き上げる,ヤキアゲ,ヤキアゲ
駆り立て	動詞,自立,*,*,一段,命令k,駆り立てる,カリタテ,カリタテ
閉め	動詞,自立,*,*,一段,命令k,閉める,シメ,シメ
離し	動詞,自立,*,*,五段・サ行,命令k,離す,ハナシ,ハナシ
つき	動詞,自立,*,*,五段・カ行イ音便,命令k,つく,ツキ,ツキ
望み	動詞,自立,*,*,五段・マ行,命令k,望む,ノゾミ,ノゾミ
持ち上がり	動詞,自立,*,*,五段・ラ行,命令k,持ち上がる,モチアガリ,モチアガリ
回り	動詞,自立,*,*,五段・ラ行,命令k,回る,マワリ,マワリ
滑り	動詞,自立,*,*,五段・ラ行,命令k,滑る,スベリ,スベリ
ゆるせ	動詞,自立,*,*,一段,命令k,ゆるせる,ユルセ,ユルセ
倒れ	動詞,自立,*,*,一段,命令k,倒れる,タオレ,タオレ
別れ	動詞,自立,*,*,一段,命令k,別れる,ワカレ,ワカレ
熟れ	動詞,自立,*,*,一段,命令k,熟れる,ウレ,ウレ
熟れ	動詞,自立,*,*,一段,命令k,熟れる,ナレ,ナレ
読み上げ	動詞,自立,*,*,一段,命令k,読み上げる,ヨミアゲ,ヨミアゲ
込み	動詞,自立,*,*,五段・マ行,命令k,込む,コミ,コミ
割れ	動詞,自立,*,*,一段,命令k,割れる,ワレ,ワレ
もやせ	動詞,自立,*,*,一段,命令k,もやせる,モヤセ,モヤセ
慣らし	動詞,自立,*,*,五段・サ行,命令k,慣らす,ナラシ,ナラシ
応じ	動詞,自立,*,*,一段,命令k,応じる,オウジ,オージ
離せ	動詞,自立,*,*,一段,命令k,離せる,ハナセ,ハナセ
集まれ	動詞,自立,*,*,一段,命令k,集まれる,アツマレ,アツマレ
にぎわし	動詞,自立,*,*,五段・サ行,命令k,にぎわす,ニギワシ,ニギワシ
語り	動詞,自立,*,*,五段・ラ行,命令k,語る,カタリ,カタリ
寄れ	動詞,自立,*,*,一段,命令k,寄れる,ヨレ,ヨレ
洗い	動詞,自立,*,*,五段・ワ行促音便,命令k,洗う,アライ,アライ
乗換え	動詞,自立,*,*,一段,命令k,乗換える,ノリカエ,ノリカエ
辿り	動詞,自立,*,*,五段・ラ行,命令k,辿る,タドリ,タドリ
踊り	動詞,自立,*,*,五段・ラ行,命令k,踊る,オドリ,オドリ
取り下げ	動詞,自立,*,*,一段,命令k,取り下げる,トリサゲ,トリサゲ
果たし	動詞,自立,*,*,五段・サ行,命令k,果たす,ハタシ,ハタシ
進め	動詞,自立,*,*,一段,命令k,進める,ススメ,ススメ
吹き替え	動詞,自立,*,*,一段,命令k,吹き替える,フキカエ,フキカエ
立たし	動詞,自立,*,*,五段・サ行,命令k,立たす,タタシ,タタシ
つけ	動詞,非自立,*,*,一段,命令k,つける,ツケ,ツケ
取り換え	動詞,自立,*,*,一段,命令k,取り換える,トリカエ,トリカエ
つなげ	動詞,自立,*,*,一段,命令k,つなげる,ツナゲ,ツナゲ
付け替え	動詞,自立,*,*,一段,命令k,付け替える,ツケカエ,ツケカエ
点し	動詞,自立,*,*,五段・サ行,命令k,点す,トモシ,トモシ
点し	動詞,自立,*,*,五段・サ行,命令k,点す,サシ,サシ
引っかけ	動詞,自立,*,*,一段,命令k,引っかける,ヒッカケ,ヒッカケ
挽き	動詞,自立,*,*,五段・カ行イ音便,命令k,挽く,ヒキ,ヒキ
話しかけ	動詞,自立,*,*,一段,命令k,話しかける,ハナシカケ,ハナシカケ
助かり	動詞,自立,*,*,五段・ラ行,命令k,助かる,タスカリ,タスカリ
言い	動詞,自立,*,*,五段・ワ行促音便,命令k,言う,イイ,イー
出し	動詞,自立,*,*,五段・サ行,命令k,出す,ダシ,ダシ
すがり	動詞,自立,*,*,五段・ラ行,命令k,すがる,スガリ,スガリ
ぬき	動詞,非自立,*,*,五段・カ行イ音便,命令k,ぬく,ヌキ,ヌキ
申し込み	動詞,自立,*,*,五段・マ行,命令k,申し込む,モウシコミ,モーシコミ
打ち合わせ	動詞,自立,*,*,一段,命令k,打ち合わせる,ウチアワセ,ウチアワセ
見舞い	動詞,自立,*,*,五段・ワ行促音便,命令k,見舞う,ミマイ,ミマイ
はめ	動詞,自立,*,*,一段,命令k,はめる,ハメ,ハメ
落ちこぼれ	動詞,自立,*,*,一段,命令k,落ちこぼれる,オチコボレ,オチコボレ
勝て	動詞,自立,*,*,一段,命令k,勝てる,カテ,カテ
絞め	動詞,自立,*,*,一段,命令k,絞める,シメ,シメ
どけ	動詞,自立,*,*,一段,命令k,どける,ドケ,ドケ
引き上げ	動詞,自立,*,*,一段,命令k,引き上げる,ヒキアゲ,ヒキアゲ
むかえ	動詞,自立,*,*,一段,命令k,むかえる,ムカエ,ムカエ
付し	動詞,自立,*,*,五段・サ行,命令k,付す,フシ,フシ
いやし	動詞,自立,*,*,五段・サ行,命令k,いやす,イヤシ,イヤシ
過ぎ	動詞,非自立,*,*,一段,命令k,過ぎる,スギ,スギ
たち	動詞,自立,*,*,五段・タ行,命令k,たつ,タチ,タチ
壊し	動詞,自立,*,*,五段・サ行,命令k,壊す,コワシ,コワシ
言い回し	動詞,自立,*,*,五段・サ行,命令k,言い回す,イイマワシ,イーマワシ
こなし	動詞,自立,*,*,五段・サ行,命令k,こなす,コナシ,コナシ
没し	動詞,自立,*,*,五段・サ行,命令k,没す,ボッシ,ボッシ
浴び	動詞,自立,*,*,一段,命令k,浴びる,アビ,アビ
しのぎ	動詞,自立,*,*,五段・ガ行,命令k,しのぐ,シノギ,シノギ
入れ替わり	動詞,自立,*,*,五段・ラ行,命令k,入れ替わる,イレカワリ,イレカワリ
打ち上げ	動詞,自立,*,*,一段,命令k,打ち上げる,ウチアゲ,ウチアゲ
まがい	動詞,自立,*,*,五段・ワ行促音便,命令k,まがう,マガイ,マガイ
売りつけ	動詞,自立,*,*,一段,命令k,売りつける,ウリツケ,ウリツケ
におい	動詞,自立,*,*,五段・ワ行促音便,命令k,におう,ニオイ,ニオイ
たらし	動詞,自立,*,*,五段・サ行,命令k,たらす,タラシ,タラシ
持ち上げ	動詞,自立,*,*,一段,命令k,持ち上げる,モチアゲ,モチアゲ
構え	動詞,自立,*,*,一段,命令k,構える,カマエ,カマエ
備え	動詞,自立,*,*,一段,命令k,備える,ソナエ,ソナエ
じゃい	動詞,非自立,*,*,五段・ワ行促音便,命令k,じゃう,ジャイ,ジャイ
折れ	動詞,自立,*,*,一段,命令k,折れる,オレ,オレ
合え	動詞,自立,*,*,一段,命令k,合える,アエ,アエ
切り出し	動詞,自立,*,*,五段・サ行,命令k,切り出す,キリダシ,キリダシ
もぎ	動詞,自立,*,*,五段・ガ行,命令k,もぐ,モギ,モギ
固め	動詞,自立,*,*,一段,命令k,固める,カタメ,カタメ
おこし	動詞,自立,*,*,五段・サ行,命令k,おこす,オコシ,オコシ
馴染め	動詞,自立,*,*,一段,命令k,馴染める,ナジメ,ナジメ
揉み	動詞,自立,*,*,五段・マ行,命令k,揉む,モミ,モミ
怠け	動詞,自立,*,*,一段,命令k,怠ける,ナマケ,ナマケ
会え	動詞,自立,*,*,一段,命令k,会える,アエ,アエ
もらし	動詞,自立,*,*,五段・サ行,命令k,もらす,モラシ,モラシ
上向き	動詞,自立,*,*,五段・カ行イ音便,命令k,上向く,ウワムキ,ウワムキ
擦り切れ	動詞,自立,*,*,一段,命令k,擦り切れる,スリキレ,スリキレ
振り込み	動詞,自立,*,*,五段・マ行,命令k,振り込む,フリコミ,フリコミ
わかれ	動詞,自立,*,*,一段,命令k,わかれる,ワカレ,ワカレ
遡れ	動詞,自立,*,*,一段,命令k,遡れる,サカノボレ,サカノボレ
ちなみ	動詞,自立,*,*,五段・マ行,命令k,ちなむ,チナミ,チナミ
とい	動詞,自立,*,*,五段・ワ行ウ音便,命令k,とう,トイ,トイ
たのしめ	動詞,自立,*,*,一段,命令k,たのしめる,タノシメ,タノシメ
さし	動詞,接尾,*,*,五段・サ行,命令k,さす,サシ,サシ
だし	動詞,非自立,*,*,五段・サ行,命令k,だす,ダシ,ダシ
焼かし	動詞,自立,*,*,五段・サ行,命令k,焼かす,ヤカシ,ヤカシ
生じ	動詞,自立,*,*,一段,命令k,生じる,ショウジ,ショージ
止まれ	動詞,自立,*,*,一段,命令k,止まれる,トマレ,トマレ
勝ち	動詞,自立,*,*,五段・タ行,命令k,勝つ,カチ,カチ
飽き	動詞,自立,*,*,一段,命令k,飽きる,アキ,アキ
設け	動詞,自立,*,*,一段,命令k,設ける,モウケ,モーケ
言い捨て	動詞,自立,*,*,一段,命令k,言い捨てる,イイステ,イーステ
仕入れ	動詞,自立,*,*,一段,命令k,仕入れる,シイレ,シイレ
遅らせ	動詞,自立,*,*,一段,命令k,遅らせる,オクラセ,オクラセ
だまし	動詞,自立,*,*,五段・サ行,命令k,だます,ダマシ,ダマシ
比べ	動詞,自立,*,*,一段,命令k,比べる,クラベ,クラベ
たおれ	動詞,自立,*,*,一段,命令k,たおれる,タオレ,タオレ
見向き	動詞,自立,*,*,五段・カ行イ音便,命令k,見向く,ミムキ,ミムキ
言いふらし	動詞,自立,*,*,五段・サ行,命令k,言いふらす,イイフラシ,イーフラシ
楽しみ	動詞,自立,*,*,五段・マ行,命令k,楽しむ,タノシミ,タノシミ
朽ち	動詞,自立,*,*,一段,命令k,朽ちる,クチ,クチ
なおせ	動詞,自立,*,*,一段,命令k,なおせる,ナオセ,ナオセ
つかし	動詞,自立,*,*,五段・サ行,命令k,つかす,ツカシ,ツカシ
萌え	動詞,自立,*,*,一段,命令k,萌える,モエ,モエ
そぎ	動詞,自立,*,*,五段・ガ行,命令k,そぐ,ソギ,ソギ
見逃し	動詞,自立,*,*,五段・サ行,命令k,見逃す,ミノガシ,ミノガシ
飛び出	動詞,自立,*,*,一段,命令k,飛び出る,トビデ,トビデ
でき	動詞,自立,*,*,一段,命令k,できる,デキ,デキ
頂き	動詞,非自立,*,*,五段・カ行イ音便,命令k,頂く,イタダキ,イタダキ
殺し	動詞,自立,*,*,五段・サ行,命令k,殺す,コロシ,コロシ
避け	動詞,自立,*,*,一段,命令k,避ける,サケ,サケ
合い	動詞,非自立,*,*,五段・ワ行促音便,命令k,合う,アイ,アイ
泊め	動詞,自立,*,*,一段,命令k,泊める,トメ,トメ
しまい	動詞,非自立,*,*,五段・ワ行促音便,命令k,しまう,シマイ,シマイ
栄え	動詞,自立,*,*,一段,命令k,栄える,サカエ,サカエ
栄え	動詞,自立,*,*,一段,命令k,栄える,ハエ,ハエ
おり	動詞,自立,*,*,五段・ラ行,命令k,おる,オリ,オリ
たより	動詞,自立,*,*,五段・ラ行,命令k,たよる,タヨリ,タヨリ
倒し	動詞,自立,*,*,五段・サ行,命令k,倒す,タオシ,タオシ
上り	動詞,自立,*,*,五段・ラ行,命令k,上る,ノボリ,ノボリ
ぬくめ	動詞,自立,*,*,一段,命令k,ぬくめる,ヌクメ,ヌクメ
掴まえ	動詞,自立,*,*,一段,命令k,掴まえる,ツカマエ,ツカマエ
萎え	動詞,自立,*,*,一段,命令k,萎える,ナエ,ナエ
着付け	動詞,自立,*,*,一段,命令k,着付ける,キツケ,キツケ
そり	動詞,自立,*,*,五段・ラ行,命令k,そる,ソリ,ソリ
こぎり	動詞,自立,*,*,五段・ラ行,命令k,こぎる,コギリ,コギリ
当てつけ	動詞,自立,*,*,一段,命令k,当てつける,アテツケ,アテツケ
付け合わせ	動詞,自立,*,*,一段,命令k,付け合わせる,ツケアワセ,ツケアワセ
のみ	動詞,自立,*,*,五段・マ行,命令k,のむ,ノミ,ノミ
育ち	動詞,自立,*,*,五段・タ行,命令k,育つ,ソダチ,ソダチ
あいうち	動詞,自立,*,*,五段・タ行,命令k,あいうつ,アイウチ,アイウチ
のめり	動詞,自立,*,*,五段・ラ行,命令k,のめる,ノメリ,ノメリ
すげ	動詞,自立,*,*,一段,命令k,すげる,スゲ,スゲ
落ち	動詞,自立,*,*,五段・タ行,命令k,落つ,オチ,オチ
投げ	動詞,自立,*,*,一段,命令k,投げる,ナゲ,ナゲ
学び	動詞,自立,*,*,五段・バ行,命令k,学ぶ,マナビ,マナビ
間にあい	動詞,自立,*,*,五段・ワ行促音便,命令k,間にあう,マニアイ,マニアイ
見込み	動詞,自立,*,*,五段・マ行,命令k,見込む,ミコミ,ミコミ
巡り会え	動詞,自立,*,*,一段,命令k,巡り会える,メグリアエ,メグリアエ
かぶれ	動詞,自立,*,*,一段,命令k,かぶれる,カブレ,カブレ
想い	動詞,自立,*,*,五段・ワ行促音便,命令k,想う,オモイ,オモイ
奢り	動詞,自立,*,*,五段・ラ行,命令k,奢る,オゴリ,オゴリ
死し	動詞,自立,*,*,五段・サ行,命令k,死す,シシ,シシ
沸かし	動詞,自立,*,*,五段・サ行,命令k,沸かす,ワカシ,ワカシ
見上げ	動詞,自立,*,*,一段,命令k,見上げる,ミアゲ,ミアゲ
費やし	動詞,自立,*,*,五段・サ行,命令k,費やす,ツイヤシ,ツイヤシ
増え	動詞,自立,*,*,一段,命令k,増える,フエ,フエ
給い	動詞,自立,*,*,五段・ワ行促音便,命令k,給う,タマイ,タマイ
廃れ	動詞,自立,*,*,一段,命令k,廃れる,スタレ,スタレ
注し	動詞,自立,*,*,五段・サ行,命令k,注す,サシ,サシ
なで	動詞,自立,*,*,一段,命令k,なでる,ナデ,ナデ
過ごせ	動詞,自立,*,*,一段,命令k,過ごせる,スゴセ,スゴセ
みがき	動詞,自立,*,*,五段・カ行イ音便,命令k,みがく,ミガキ,ミガキ
流行り	動詞,自立,*,*,五段・ラ行,命令k,流行る,ハヤリ,ハヤリ
結わえ	動詞,自立,*,*,一段,命令k,結わえる,ユワエ,ユワエ
引っ込み	動詞,自立,*,*,五段・マ行,命令k,引っ込む,ヒッコミ,ヒッコミ
詰め	動詞,自立,*,*,一段,命令k,詰める,ツメ,ツメ
計れ	動詞,自立,*,*,一段,命令k,計れる,ハカレ,ハカレ
抱き	動詞,自立,*,*,五段・カ行イ音便,命令k,抱く,イダキ,イダキ
抱き	動詞,自立,*,*,五段・カ行イ音便,命令k,抱く,ダキ,ダキ
投げ出し	動詞,自立,*,*,五段・サ行,命令k,投げ出す,ナゲダシ,ナゲダシ
売り	動詞,自立,*,*,五段・ラ行,命令k,売る,ウリ,ウリ
寝かし	動詞,自立,*,*,五段・サ行,命令k,寝かす,ネカシ,ネカシ
書き換え	動詞,自立,*,*,一段,命令k,書き換える,カキカエ,カキカエ
やり	動詞,自立,*,*,五段・ラ行,命令k,やる,ヤリ,ヤリ
越せ	動詞,自立,*,*,一段,命令k,越せる,コセ,コセ
通せ	動詞,自立,*,*,一段,命令k,通せる,トオセ,トーセ
すべり	動詞,自立,*,*,五段・ラ行,命令k,すべる,スベリ,スベリ
聞き取り	動詞,自立,*,*,五段・ラ行,命令k,聞き取る,キキトリ,キキトリ
考え	動詞,自立,*,*,一段,命令k,考える,カンガエ,カンガエ
ぶつかり	動詞,自立,*,*,五段・ラ行,命令k,ぶつかる,ブツカリ,ブツカリ
取り入れ	動詞,自立,*,*,一段,命令k,取り入れる,トリイレ,トリイレ
はき	動詞,自立,*,*,五段・カ行イ音便,命令k,はく,ハキ,ハキ
逃し	動詞,自立,*,*,五段・サ行,命令k,逃す,ノガシ,ノガシ
逃し	動詞,自立,*,*,五段・サ行,命令k,逃す,ニガシ,ニガシ
漁り	動詞,自立,*,*,五段・ラ行,命令k,漁る,アサリ,アサリ
漁り	動詞,自立,*,*,五段・ラ行,命令k,漁る,スナドリ,スナドリ
書き直し	動詞,自立,*,*,五段・サ行,命令k,書き直す,カキナオシ,カキナオシ
押え	動詞,自立,*,*,一段,命令k,押える,オサエ,オサエ
こみ	動詞,非自立,*,*,五段・マ行,命令k,こむ,コミ,コミ
しない	動詞,自立,*,*,五段・ワ行促音便,命令k,しなう,シナイ,シナイ
押さえ	動詞,自立,*,*,一段,命令k,押さえる,オサエ,オサエ
深め	動詞,自立,*,*,一段,命令k,深める,フカメ,フカメ
散らし	動詞,自立,*,*,五段・サ行,命令k,散らす,チラシ,チラシ
渡り	動詞,自立,*,*,五段・ラ行,命令k,渡る,ワタリ,ワタリ
敷き	動詞,自立,*,*,五段・カ行イ音便,命令k,敷く,シキ,シキ
丸め	動詞,自立,*,*,一段,命令k,丸める,マルメ,マルメ
着こなせ	動詞,自立,*,*,一段,命令k,着こなせる,キコナセ,キコナセ
通り	動詞,自立,*,*,五段・ラ行,命令k,通る,トオリ,トーリ
狂い	動詞,自立,*,*,五段・ワ行促音便,命令k,狂う,クルイ,クルイ
住まい	動詞,自立,*,*,五段・ワ行促音便,命令k,住まう,スマイ,スマイ
言わし	動詞,自立,*,*,五段・サ行,命令k,言わす,イワシ,イワシ
抜き	動詞,非自立,*,*,五段・カ行イ音便,命令k,抜く,ヌキ,ヌキ
返り	動詞,自立,*,*,五段・ラ行,命令k,返る,カエリ,カエリ
はやり	動詞,自立,*,*,五段・ラ行,命令k,はやる,ハヤリ,ハヤリ
なおし	動詞,非自立,*,*,五段・サ行,命令k,なおす,ナオシ,ナオシ
連れ	動詞,自立,*,*,一段,命令k,連れる,ツレ,ツレ
いため	動詞,自立,*,*,一段,命令k,いためる,イタメ,イタメ
うて	動詞,自立,*,*,一段,命令k,うてる,ウテ,ウテ
のがし	動詞,自立,*,*,五段・サ行,命令k,のがす,ノガシ,ノガシ
磨き	動詞,自立,*,*,五段・カ行イ音便,命令k,磨く,ミガキ,ミガキ
弾き	動詞,自立,*,*,五段・カ行イ音便,命令k,弾く,ヒキ,ヒキ
弾き	動詞,自立,*,*,五段・カ行イ音便,命令k,弾く,ハジキ,ハジキ
くり上げ	動詞,自立,*,*,一段,命令k,くり上げる,クリアゲ,クリアゲ
言い換え	動詞,自立,*,*,一段,命令k,言い換える,イイカエ,イーカエ
助け	動詞,自立,*,*,一段,命令k,助ける,タスケ,タスケ
助け	動詞,自立,*,*,一段,命令k,助ける,スケ,スケ
奏で	動詞,自立,*,*,一段,命令k,奏でる,カナデ,カナデ
治り	動詞,自立,*,*,五段・ラ行,命令k,治る,ナオリ,ナオリ
寄せ	動詞,自立,*,*,一段,命令k,寄せる,ヨセ,ヨセ
埋め立て	動詞,自立,*,*,一段,命令k,埋め立てる,ウメタテ,ウメタテ
むき	動詞,自立,*,*,五段・カ行イ音便,命令k,むく,ムキ,ムキ
述べ	動詞,自立,*,*,一段,命令k,述べる,ノベ,ノベ
力付け	動詞,自立,*,*,一段,命令k,力付ける,チカラヅケ,チカラズケ
編み	動詞,自立,*,*,五段・マ行,命令k,編む,アミ,アミ
止み	動詞,自立,*,*,五段・マ行,命令k,止む,ヤミ,ヤミ
絡め	動詞,自立,*,*,一段,命令k,絡める,カラメ,カラメ
ただれ	動詞,自立,*,*,一段,命令k,ただれる,タダレ,タダレ
寝かせ	動詞,自立,*,*,一段,命令k,寝かせる,ネカセ,ネカセ
張り合い	動詞,自立,*,*,五段・ワ行促音便,命令k,張り合う,ハリアイ,ハリアイ
知らせ	動詞,自立,*,*,一段,命令k,知らせる,シラセ,シラセ
帯び	動詞,自立,*,*,一段,命令k,帯びる,オビ,オビ
あるけ	動詞,自立,*,*,一段,命令k,あるける,アルケ,アルケ
突っ伏し	動詞,自立,*,*,五段・サ行,命令k,突っ伏す,ツップシ,ツップシ
撮れ	動詞,自立,*,*,一段,命令k,撮れる,トレ,トレ
染み	動詞,自立,*,*,一段,命令k,染みる,シミ,シミ
連れ回し	動詞,自立,*,*,五段・サ行,命令k,連れ回す,ツレマワシ,ツレマワシ
たやし	動詞,自立,*,*,五段・サ行,命令k,たやす,タヤシ,タヤシ
すめ	動詞,自立,*,*,一段,命令k,すめる,スメ,スメ
嫌われ	動詞,自立,*,*,一段,命令k,嫌われる,キラワレ,キラワレ
ぶち	動詞,自立,*,*,五段・タ行,命令k,ぶつ,ブチ,ブチ
みきり	動詞,自立,*,*,五段・ラ行,命令k,みきる,ミキリ,ミキリ
とみ	動詞,自立,*,*,五段・マ行,命令k,とむ,トミ,トミ
捕り	動詞,自立,*,*,五段・ラ行,命令k,捕る,トリ,トリ
ほえ	動詞,自立,*,*,一段,命令k,ほえる,ホエ,ホエ
倒せ	動詞,自立,*,*,一段,命令k,倒せる,タオセ,タオセ
擦れ	動詞,自立,*,*,一段,命令k,擦れる,スレ,スレ
擦れ	動詞,自立,*,*,一段,命令k,擦れる,コスレ,コスレ
抱きしめ	動詞,自立,*,*,一段,命令k,抱きしめる,ダキシメ,ダキシメ
やらかし	動詞,自立,*,*,五段・サ行,命令k,やらかす,ヤラカシ,ヤラカシ
冷やかし	動詞,自立,*,*,五段・サ行,命令k,冷やかす,ヒヤカシ,ヒヤカシ
貯め	動詞,自立,*,*,一段,命令k,貯める,タメ,タメ
こしらえ	動詞,自立,*,*,一段,命令k,こしらえる,コシラエ,コシラエ
開け	動詞,自立,*,*,一段,命令k,開ける,アケ,アケ
開け	動詞,自立,*,*,一段,命令k,開ける,ヒラケ,ヒラケ
追いかけ	動詞,自立,*,*,一段,命令k,追いかける,オイカケ,オイカケ
騒がし	動詞,自立,*,*,五段・サ行,命令k,騒がす,サワガシ,サワガシ
落ち着き	動詞,自立,*,*,五段・カ行イ音便,命令k,落ち着く,オチツキ,オチツキ
おき	動詞,非自立,*,*,五段・カ行イ音便,命令k,おく,オキ,オキ
いけ	動詞,非自立,*,*,一段,命令k,いける,イケ,イケ
産み	動詞,自立,*,*,五段・マ行,命令k,産む,ウミ,ウミ
約し	動詞,自立,*,*,五段・サ行,命令k,約す,ヤクシ,ヤクシ
下ろし	動詞,自立,*,*,五段・サ行,命令k,下ろす,オロシ,オロシ
はまり	動詞,自立,*,*,五段・ラ行,命令k,はまる,ハマリ,ハマリ
持たし	動詞,自立,*,*,五段・サ行,命令k,持たす,モタシ,モタシ
縫いつけ	動詞,自立,*,*,一段,命令k,縫いつける,ヌイツケ,ヌイツケ
うすれ	動詞,自立,*,*,一段,命令k,うすれる,ウスレ,ウスレ
称し	動詞,自立,*,*,五段・サ行,命令k,称す,ショウシ,ショーシ
抜き	動詞,自立,*,*,五段・カ行イ音便,命令k,抜く,ヌキ,ヌキ
えんじ	動詞,自立,*,*,一段,命令k,えんじる,エンジ,エンジ
行き	動詞,自立,*,*,五段・カ行促音便,命令k,行く,イキ,イキ
転がし	動詞,自立,*,*,五段・サ行,命令k,転がす,コロガシ,コロガシ
絞り	動詞,自立,*,*,五段・ラ行,命令k,絞る,シボリ,シボリ
掴め	動詞,自立,*,*,一段,命令k,掴める,ツカメ,ツカメ
乱れ	動詞,自立,*,*,一段,命令k,乱れる,ミダレ,ミダレ
庇い	動詞,自立,*,*,五段・ワ行促音便,命令k,庇う,カバイ,カバイ
おさえ	動詞,自立,*,*,一段,命令k,おさえる,オサエ,オサエ
わび	動詞,自立,*,*,一段,命令k,わびる,ワビ,ワビ
突き	動詞,自立,*,*,五段・カ行イ音便,命令k,突く,ツキ,ツキ
取り付け	動詞,自立,*,*,一段,命令k,取り付ける,トリツケ,トリツケ
合い	動詞,自立,*,*,五段・ワ行促音便,命令k,合う,アイ,アイ
だし	動詞,自立,*,*,五段・サ行,命令k,だす,ダシ,ダシ
付け加え	動詞,自立,*,*,一段,命令k,付け加える,ツケクワエ,ツケクワエ
見直し	動詞,自立,*,*,五段・サ行,命令k,見直す,ミナオシ,ミナオシ
たまげ	動詞,自立,*,*,一段,命令k,たまげる,タマゲ,タマゲ
建ち	動詞,自立,*,*,五段・タ行,命令k,建つ,タチ,タチ
終わらせ	動詞,自立,*,*,一段,命令k,終わらせる,オワラセ,オワラセ
保て	動詞,自立,*,*,一段,命令k,保てる,タモテ,タモテ
因み	動詞,自立,*,*,五段・マ行,命令k,因む,チナミ,チナミ
守り	動詞,自立,*,*,五段・ラ行,命令k,守る,マモリ,マモリ
調べ	動詞,自立,*,*,一段,命令k,調べる,シラベ,シラベ
老い	動詞,自立,*,*,一段,命令k,老いる,オイ,オイ
年老い	動詞,自立,*,*,一段,命令k,年老いる,トシオイ,トシオイ
届け	動詞,自立,*,*,一段,命令k,届ける,トドケ,トドケ
恨み	動詞,自立,*,*,五段・マ行,命令k,恨む,ウラミ,ウラミ
はやめ	動詞,自立,*,*,一段,命令k,はやめる,ハヤメ,ハヤメ
怒鳴り込み	動詞,自立,*,*,五段・マ行,命令k,怒鳴り込む,ドナリコミ,ドナリコミ
にえ	動詞,自立,*,*,一段,命令k,にえる,ニエ,ニエ
切り裂き	動詞,自立,*,*,五段・カ行イ音便,命令k,切り裂く,キリサキ,キリサキ
おじけ	動詞,自立,*,*,一段,命令k,おじける,オジケ,オジケ
かすみ	動詞,自立,*,*,五段・マ行,命令k,かすむ,カスミ,カスミ
ころび	動詞,自立,*,*,五段・バ行,命令k,ころぶ,コロビ,コロビ
しぶり	動詞,自立,*,*,五段・ラ行,命令k,しぶる,シブリ,シブリ
分け与え	動詞,自立,*,*,一段,命令k,分け与える,ワケアタエ,ワケアタエ
握り	動詞,自立,*,*,五段・ラ行,命令k,握る,ニギリ,ニギリ
考え出し	動詞,自立,*,*,五段・サ行,命令k,考え出す,カンガエダシ,カンガエダシ
きつけ	動詞,自立,*,*,一段,命令k,きつける,キツケ,キツケ
服し	動詞,自立,*,*,五段・サ行,命令k,服す,フクシ,フクシ
乱し	動詞,自立,*,*,五段・サ行,命令k,乱す,ミダシ,ミダシ
助け合い	動詞,自立,*,*,五段・ワ行促音便,命令k,助け合う,タスケアイ,タスケアイ
もめ	動詞,自立,*,*,一段,命令k,もめる,モメ,モメ
亡くし	動詞,自立,*,*,五段・サ行,命令k,亡くす,ナクシ,ナクシ
宿し	動詞,自立,*,*,五段・サ行,命令k,宿す,ヤドシ,ヤドシ
宿し	動詞,自立,*,*,五段・サ行,命令k,宿す,シュクシ,シュクシ
かしつけ	動詞,自立,*,*,一段,命令k,かしつける,カシツケ,カシツケ
使え	動詞,自立,*,*,一段,命令k,使える,ツカエ,ツカエ
くたびれ	動詞,自立,*,*,一段,命令k,くたびれる,クタビレ,クタビレ
割け	動詞,自立,*,*,一段,命令k,割ける,サケ,サケ
埋め合わせ	動詞,自立,*,*,一段,命令k,埋め合わせる,ウメアワセ,ウメアワセ
しずめ	動詞,自立,*,*,一段,命令k,しずめる,シズメ,シズメ
覚え	動詞,自立,*,*,一段,命令k,覚える,オボエ,オボエ
かぎ	動詞,自立,*,*,五段・ガ行,命令k,かぐ,カギ,カギ
渡し	動詞,自立,*,*,五段・サ行,命令k,渡す,ワタシ,ワタシ
ふれ合い	動詞,自立,*,*,五段・ワ行促音便,命令k,ふれ合う,フレアイ,フレアイ
きり	動詞,非自立,*,*,五段・ラ行,命令k,きる,キリ,キリ
つくね	動詞,自立,*,*,一段,命令k,つくねる,ツクネ,ツクネ
忘れ	動詞,自立,*,*,一段,命令k,忘れる,ワスレ,ワスレ
描け	動詞,自立,*,*,一段,命令k,描ける,エガケ,エガケ
損ね	動詞,自立,*,*,一段,命令k,損ねる,ソコネ,ソコネ
存じ	動詞,自立,*,*,一段,命令k,存じる,ゾンジ,ゾンジ
ただし	動詞,自立,*,*,五段・サ行,命令k,ただす,タダシ,タダシ
関わり	動詞,自立,*,*,五段・ラ行,命令k,関わる,カカワリ,カカワリ
鳴り	動詞,自立,*,*,五段・ラ行,命令k,鳴る,ナリ,ナリ
