引き込み	動詞,自立,*,*,五段・マ行,命令k,引き込む,ヒキコミ,ヒキコミ
失い	動詞,自立,*,*,五段・ワ行促音便,命令k,失う,ウシナイ,ウシナイ
動き出し	動詞,自立,*,*,五段・サ行,命令k,動き出す,ウゴキダシ,ウゴキダシ
下げ	動詞,自立,*,*,一段,命令k,下げる,サゲ,サゲ
しおれ	動詞,自立,*,*,一段,命令k,しおれる,シオレ,シオレ
夢見	動詞,自立,*,*,一段,命令k,夢見る,ユメミ,ユメミ
冷やし	動詞,自立,*,*,五段・サ行,命令k,冷やす,ヒヤシ,ヒヤシ
撃ち	動詞,自立,*,*,五段・タ行,命令k,撃つ,ウチ,ウチ
認め	動詞,自立,*,*,一段,命令k,認める,ミトメ,ミトメ
認め	動詞,自立,*,*,一段,命令k,認める,シタタメ,シタタメ
流れ	動詞,自立,*,*,一段,命令k,流れる,ナガレ,ナガレ
適し	動詞,自立,*,*,五段・サ行,命令k,適す,テキシ,テキシ
越え	動詞,自立,*,*,一段,命令k,越える,コエ,コエ
うめ	動詞,自立,*,*,一段,命令k,うめる,ウメ,ウメ
ひっくるめ	動詞,自立,*,*,一段,命令k,ひっくるめる,ヒックルメ,ヒックルメ
折り合い	動詞,自立,*,*,五段・ワ行促音便,命令k,折り合う,オリアイ,オリアイ
かたまり	動詞,自立,*,*,五段・ラ行,命令k,かたまる,カタマリ,カタマリ
つかめ	動詞,自立,*,*,一段,命令k,つかめる,ツカメ,ツカメ
聞き込み	動詞,自立,*,*,五段・マ行,命令k,聞き込む,キキコミ,キキコミ
でかけ	動詞,自立,*,*,一段,命令k,でかける,デカケ,デカケ
ねぎ	動詞,自立,*,*,五段・ガ行,命令k,ねぐ,ネギ,ネギ
もとり	動詞,自立,*,*,五段・ラ行,命令k,もとる,モトリ,モトリ
話し	動詞,自立,*,*,五段・サ行,命令k,話す,ハナシ,ハナシ
請い	動詞,自立,*,*,五段・ワ行促音便,命令k,請う,コイ,コイ
膨れ	動詞,自立,*,*,一段,命令k,膨れる,フクレ,フクレ
逢い	動詞,自立,*,*,五段・ワ行促音便,命令k,逢う,アイ,アイ
強め	動詞,自立,*,*,一段,命令k,強める,ツヨメ,ツヨメ
区切り	動詞,自立,*,*,五段・ラ行,命令k,区切る,クギリ,クギリ
けがし	動詞,自立,*,*,五段・サ行,命令k,けがす,ケガシ,ケガシ
可愛がれ	動詞,自立,*,*,一段,命令k,可愛がれる,カワイガレ,カワイガレ
ぶら下げ	動詞,自立,*,*,一段,命令k,ぶら下げる,ブラサゲ,ブラサゲ
つかれ	動詞,自立,*,*,一段,命令k,つかれる,ツカレ,ツカレ
活かし	動詞,自立,*,*,五段・サ行,命令k,活かす,イカシ,イカシ
察し	動詞,自立,*,*,五段・サ行,命令k,察す,サッシ,サッシ
振る舞い	動詞,自立,*,*,五段・ワ行促音便,命令k,振る舞う,フルマイ,フルマイ
言い直し	動詞,自立,*,*,五段・サ行,命令k,言い直す,イイナオシ,イーナオシ
かない	動詞,自立,*,*,五段・ワ行促音便,命令k,かなう,カナイ,カナイ
次ぎ	動詞,自立,*,*,五段・ガ行,命令k,次ぐ,ツギ,ツギ
話せ	動詞,自立,*,*,一段,命令k,話せる,ハナセ,ハナセ
似合い	動詞,自立,*,*,五段・ワ行促音便,命令k,似合う,ニアイ,ニアイ
てり	動詞,自立,*,*,五段・ラ行,命令k,てる,テリ,テリ
導き出し	動詞,自立,*,*,五段・サ行,命令k,導き出す,ミチビキダシ,ミチビキダシ
虐め	動詞,自立,*,*,一段,命令k,虐める,イジメ,イジメ
心掛け	動詞,自立,*,*,一段,命令k,心掛ける,ココロガケ,ココロガケ
交え	動詞,自立,*,*,一段,命令k,交える,マジエ,マジエ
みのり	動詞,自立,*,*,五段・ラ行,命令k,みのる,ミノリ,ミノリ
引っ掛け	動詞,自立,*,*,一段,命令k,引っ掛ける,ヒッカケ,ヒッカケ
来	動詞,非自立,*,*,カ変・来ル,命令k,来る,キ,キ
来い	動詞,非自立,*,*,カ変・来ル,命令k,来る,キイ,キー
き	動詞,非自立,*,*,カ変・来ル,命令k,来る,キ,キ
きい	動詞,非自立,*,*,カ変・来ル,命令k,来る,キイ,キー
来	動詞,自立,*,*,カ変・来ル,命令k,来る,キ,キ
来い	動詞,自立,*,*,カ変・来ル,命令k,来る,キイ,キー
き	動詞,自立,*,*,カ変・来ル,命令k,来る,キ,キ
きい	動詞,自立,*,*,カ変・来ル,命令k,来る,キイ,キー
生け	動詞,自立,*,*,一段,命令k,生ける,イケ,イケ
鞭打ち	動詞,自立,*,*,五段・タ行,命令k,鞭打つ,ムチウチ,ムチウチ
輝き	動詞,自立,*,*,五段・カ行イ音便,命令k,輝く,カガヤキ,カガヤキ
やき	動詞,自立,*,*,五段・カ行イ音便,命令k,やく,ヤキ,ヤキ
