わっか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,わっかい,ワッカ,ワッカ
えっごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,えっごい,エッゴイ,エッゴイ
えっごかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,えっごい,エッゴカッ,エッゴカッ
えっご	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,えっごい,エッゴ,エッゴ
なっめい	形容詞,自立,*,*,形容詞・アウオ段,基本形,なっめい,ナッメイ,ナッメイ
なっめかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,なっめい,ナッメカッ,ナッメカッ
なっめ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,なっめい,ナッメ,ナッメ
かっるい	形容詞,自立,*,*,形容詞・アウオ段,基本形,かっるい,カッルイ,カッルイ
かっるかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,かっるい,カッルカッ,カッルカッ
かっる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,かっるい,カッル,カッル
こっすい	形容詞,自立,*,*,形容詞・アウオ段,基本形,こっすい,コッスイ,コッスイ
こっすかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,こっすい,コッスカッ,コッスカッ
こっす	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,こっすい,コッス,コッス
おっそい	形容詞,自立,*,*,形容詞・アウオ段,基本形,おっそい,オッソイ,オッソイ
おっそかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,おっそい,オッソカッ,オッソカッ
おっそ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,おっそい,オッソ,オッソ
いっみい	形容詞,自立,*,*,形容詞・アウオ段,基本形,いっみい,イッミイ,イッミイ
いっみかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,いっみい,イッミカッ,イッミカッ
いっみ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,いっみい,イッミ,イッミ
えっぐい	形容詞,自立,*,*,形容詞・アウオ段,基本形,えっぐい,エッグイ,エッグイ
