おくれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,おくる,オクレ,オクレ
挟まれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,挟まる,ハサマレ,ハサマレ
外せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,外す,ハズセ,ハズセ
ひそめ	動詞,自立,*,*,五段・マ行,未然形・母音調和,ひそむ,ヒソメ,ヒソメ
しね	動詞,自立,*,*,五段・ナ行,未然形・母音調和,しぬ,シネ,シネ
まぎれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,まぎる,マギレ,マギレ
だまれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,だまる,ダマレ,ダマレ
つめ	動詞,自立,*,*,五段・マ行,未然形・母音調和,つむ,ツメ,ツメ
向け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,向く,ムケ,ムケ
照れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,照る,テレ,テレ
けれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,ける,ケレ,ケレ
付き合え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,付き合う,ツキアエ,ツキアエ
ゆるせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,ゆるす,ユルセ,ユルセ
掘れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,掘る,ホレ,ホレ
来れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,来る,コレ,コレ
これ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,くる,コレ,コレ
どれ	動詞,非自立,*,*,五段・ラ行,未然形・母音調和,どる,ドレ,ドレ
やかせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,やかす,ヤカセ,ヤカセ
探せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,探す,サガセ,サガセ
せけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,せく,セケ,セケ
揃え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,揃う,ソロエ,ソロエ
ばれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,ばる,バレ,バレ
鋤け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,鋤く,スケ,スケ
ほれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,ほる,ホレ,ホレ
笑え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,笑う,ワラエ,ワラエ
そそれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,そそる,ソソレ,ソソレ
付け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,付く,ツケ,ツケ
釣れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,釣る,ツレ,ツレ
のけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,のく,ノケ,ノケ
立て	動詞,自立,*,*,五段・タ行,未然形・母音調和,立つ,タテ,タテ
ついて行け	動詞,自立,*,*,五段・カ行促音便,未然形・母音調和,ついて行く,ツイテイケ,ツイテイケ
ついて行け	動詞,自立,*,*,五段・カ行促音便,未然形・母音調和,ついて行く,ツイテユケ,ツイテユケ
吹かせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,吹かす,フカセ,フカセ
たけれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,たける,タケレ,タケレ
取り付け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,取り付く,トリツケ,トリツケ
かもせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,かもす,カモセ,カモセ
につけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,につく,ニツケ,ニツケ
言え	動詞,自立,*,*,五段・ワ行ウ音便,未然形・母音調和,言う,ユエ,ユエ
持ち切れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,持ち切る,モチキレ,モチキレ
聞かせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,聞かす,キカセ,キカセ
吸え	動詞,自立,*,*,五段・ワ行ウ音便,未然形・母音調和,吸う,スエ,スエ
つなげ	動詞,自立,*,*,五段・ガ行,未然形・母音調和,つなぐ,ツナゲ,ツナゲ
言い合え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,言い合う,イイアエ,イーアエ
乗れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,乗る,ノレ,ノレ
聞け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,聞く,キケ,キケ
はやらせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,はやらす,ハヤラセ,ハヤラセ
触れ合え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,触れ合う,フレアエ,フレアエ
切れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,切る,キレ,キレ
よれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,よる,ヨレ,ヨレ
込め	動詞,非自立,*,*,五段・マ行,未然形・母音調和,込む,コメ,コメ
いけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,いく,イケ,イケ
並べ	動詞,自立,*,*,五段・バ行,未然形・母音調和,並ぶ,ナラベ,ナラベ
通せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,通す,トオセ,トーセ
登れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,登る,ノボレ,ノボレ
うとめ	動詞,自立,*,*,五段・マ行,未然形・母音調和,うとむ,ウトメ,ウトメ
うかれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,うかる,ウカレ,ウカレ
まされ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,まさる,マサレ,マサレ
書け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,書く,カケ,カケ
吸え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,吸う,スエ,スエ
働け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,働く,ハタラケ,ハタラケ
もやせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,もやす,モヤセ,モヤセ
そらせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,そらす,ソラセ,ソラセ
いつけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,いつく,イツケ,イツケ
見渡せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,見渡す,ミワタセ,ミワタセ
繋げ	動詞,自立,*,*,五段・ガ行,未然形・母音調和,繋ぐ,ツナゲ,ツナゲ
落とせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,落とす,オトセ,オトセ
降れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,降る,フレ,フレ
降れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,降る,クダレ,クダレ
思い出せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,思い出す,オモイダセ,オモイダセ
たくれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,たくる,タクレ,タクレ
役に立て	動詞,自立,*,*,五段・タ行,未然形・母音調和,役に立つ,ヤクニタテ,ヤクニタテ
分かれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,分かる,ワカレ,ワカレ
あふれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,あふる,アフレ,アフレ
言い聞かせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,言い聞かす,イイキカセ,イーキカセ
ゆるめ	動詞,自立,*,*,五段・マ行,未然形・母音調和,ゆるむ,ユルメ,ユルメ
ぼやけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,ぼやく,ボヤケ,ボヤケ
解け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,解く,トケ,トケ
解け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,解く,ホドケ,ホドケ
