引き込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,引き込む,ヒキコミャ,ヒキコミャ
吸付けっ	動詞,自立,*,*,一段,基本縮約,吸付ける,スイツケッ,スイツケッ
ごねっ	動詞,自立,*,*,一段,基本縮約,ごねる,ゴネッ,ゴネッ
ほざきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,ほざく,ホザキャ,ホザキャ
せめぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,せめぐ,セメギャ,セメギャ
食さがっ	動詞,自立,*,*,五段・ラ行,基本縮約,食さがる,クイサガッ,クイサガッ
追い打ちゃ	動詞,自立,*,*,五段・タ行,基本縮約,追い打つ,オイウチャ,オイウチャ
休まれっ	動詞,自立,*,*,一段,基本縮約,休まれる,ヤスマレッ,ヤスマレッ
動じっ	動詞,自立,*,*,一段,基本縮約,動じる,ドウジッ,ドージッ
染まっ	動詞,自立,*,*,五段・ラ行,基本縮約,染まる,ソマッ,ソマッ
染め上げっ	動詞,自立,*,*,一段,基本縮約,染め上げる,ソメアゲッ,ソメアゲッ
はかれっ	動詞,自立,*,*,一段,基本縮約,はかれる,ハカレッ,ハカレッ
巻き付きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,巻き付く,マキツキャ,マキツキャ
光らせっ	動詞,自立,*,*,一段,基本縮約,光らせる,ヒカラセッ,ヒカラセッ
挫けっ	動詞,自立,*,*,一段,基本縮約,挫ける,クジケッ,クジケッ
燃え移っ	動詞,自立,*,*,五段・ラ行,基本縮約,燃え移る,モエウツッ,モエウツッ
鈍すっ	動詞,自立,*,*,サ変・−スル,基本縮約,鈍する,ドンスッ,ドンスッ
ふくれあがっ	動詞,自立,*,*,五段・ラ行,基本縮約,ふくれあがる,フクレアガッ,フクレアガッ
ぶんなげっ	動詞,自立,*,*,一段,基本縮約,ぶんなげる,ブンナゲッ,ブンナゲッ
生い立ちゃ	動詞,自立,*,*,五段・タ行,基本縮約,生い立つ,オイタチャ,オイタチャ
ごたつきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,ごたつく,ゴタツキャ,ゴタツキャ
うろたえっ	動詞,自立,*,*,一段,基本縮約,うろたえる,ウロタエッ,ウロタエッ
燃えっ	動詞,自立,*,*,一段,基本縮約,燃える,モエッ,モエッ
推すっ	動詞,自立,*,*,サ変・−スル,基本縮約,推する,スイスッ,スイスッ
取逃しゃ	動詞,自立,*,*,五段・サ行,基本縮約,取逃す,トリニガシャ,トリニガシャ
乗り通しゃ	動詞,自立,*,*,五段・サ行,基本縮約,乗り通す,ノリトオシャ,ノリトーシャ
さむけだちゃ	動詞,自立,*,*,五段・タ行,基本縮約,さむけだつ,サムケダチャ,サムケダチャ
こぼれおちっ	動詞,自立,*,*,一段,基本縮約,こぼれおちる,コボレオチッ,コボレオチッ
かいつくしゃ	動詞,自立,*,*,五段・サ行,基本縮約,かいつくす,カイツクシャ,カイツクシャ
祀っ	動詞,自立,*,*,五段・ラ行,基本縮約,祀る,マツッ,マツッ
痛め付けっ	動詞,自立,*,*,一段,基本縮約,痛め付ける,イタメツケッ,イタメツケッ
持ちきっ	動詞,自立,*,*,五段・ラ行,基本縮約,持ちきる,モチキッ,モチキッ
疑えっ	動詞,自立,*,*,一段,基本縮約,疑える,ウタガエッ,ウタガエッ
掻き曇っ	動詞,自立,*,*,五段・ラ行,基本縮約,掻き曇る,カキクモッ,カキクモッ
返り咲きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,返り咲く,カエリザキャ,カエリザキャ
うばえっ	動詞,自立,*,*,一段,基本縮約,うばえる,ウバエッ,ウバエッ
願い出っ	動詞,自立,*,*,一段,基本縮約,願い出る,ネガイデッ,ネガイデッ
落ち延びっ	動詞,自立,*,*,一段,基本縮約,落ち延びる,オチノビッ,オチノビッ
辱めっ	動詞,自立,*,*,一段,基本縮約,辱める,ハズカシメッ,ハズカシメッ
おったてっ	動詞,自立,*,*,一段,基本縮約,おったてる,オッタテッ,オッタテッ
編み出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,編み出す,アミダシャ,アミダシャ
呼び止めっ	動詞,自立,*,*,一段,基本縮約,呼び止める,ヨビトメッ,ヨビトメッ
澄みきっ	動詞,自立,*,*,五段・ラ行,基本縮約,澄みきる,スミキッ,スミキッ
踏みきっ	動詞,自立,*,*,五段・ラ行,基本縮約,踏みきる,フミキッ,フミキッ
寄り付きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,寄り付く,ヨリツキャ,ヨリツキャ
だきこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,だきこむ,ダキコミャ,ダキコミャ
轟かせっ	動詞,自立,*,*,一段,基本縮約,轟かせる,トドロカセッ,トドロカセッ
仰けっ	動詞,自立,*,*,一段,基本縮約,仰ける,アオノケッ,アオノケッ
毒すっ	動詞,自立,*,*,サ変・−スル,基本縮約,毒する,ドクスッ,ドクスッ
かかえっ	動詞,自立,*,*,一段,基本縮約,かかえる,カカエッ,カカエッ
ほふっ	動詞,自立,*,*,五段・ラ行,基本縮約,ほふる,ホフッ,ホフッ
捻っ	動詞,自立,*,*,五段・ラ行,基本縮約,捻る,ヒネッ,ヒネッ
捻っ	動詞,自立,*,*,五段・ラ行,基本縮約,捻る,ネジッ,ネジッ
角張っ	動詞,自立,*,*,五段・ラ行,基本縮約,角張る,カクバッ,カクバッ
悦びゃ	動詞,自立,*,*,五段・バ行,基本縮約,悦ぶ,ヨロコビャ,ヨロコビャ
いちづけっ	動詞,自立,*,*,一段,基本縮約,いちづける,イチヅケッ,イチズケッ
仕込めっ	動詞,自立,*,*,一段,基本縮約,仕込める,シコメッ,シコメッ
くいこめっ	動詞,自立,*,*,一段,基本縮約,くいこめる,クイコメッ,クイコメッ
組みこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,組みこむ,クミコミャ,クミコミャ
あつかえっ	動詞,自立,*,*,一段,基本縮約,あつかえる,アツカエッ,アツカエッ
嘱すっ	動詞,自立,*,*,サ変・−スル,基本縮約,嘱する,ショクスッ,ショクスッ
なげきくらしゃ	動詞,自立,*,*,五段・サ行,基本縮約,なげきくらす,ナゲキクラシャ,ナゲキクラシャ
けやぶっ	動詞,自立,*,*,五段・ラ行,基本縮約,けやぶる,ケヤブッ,ケヤブッ
つくりなおしゃ	動詞,自立,*,*,五段・サ行,基本縮約,つくりなおす,ツクリナオシャ,ツクリナオシャ
まるめっ	動詞,自立,*,*,一段,基本縮約,まるめる,マルメッ,マルメッ
しびれっ	動詞,自立,*,*,一段,基本縮約,しびれる,シビレッ,シビレッ
突き合わしゃ	動詞,自立,*,*,五段・サ行,基本縮約,突き合わす,ツキアワシャ,ツキアワシャ
はぐっ	動詞,自立,*,*,五段・ラ行,基本縮約,はぐる,ハグッ,ハグッ
頼みゃ	動詞,自立,*,*,五段・マ行,基本縮約,頼む,タノミャ,タノミャ
ゆがみゃ	動詞,自立,*,*,五段・マ行,基本縮約,ゆがむ,ユガミャ,ユガミャ
はみ出っ	動詞,自立,*,*,一段,基本縮約,はみ出る,ハミデッ,ハミデッ
あおみゃ	動詞,自立,*,*,五段・マ行,基本縮約,あおむ,アオミャ,アオミャ
