引き込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,引き込む,ヒキコミャ,ヒキコミャ
くいいっ	動詞,自立,*,*,五段・ラ行,基本縮約,くいいる,クイイッ,クイイッ
囚われっ	動詞,自立,*,*,一段,基本縮約,囚われる,トラワレッ,トラワレッ
なごめっ	動詞,自立,*,*,一段,基本縮約,なごめる,ナゴメッ,ナゴメッ
飲回しゃ	動詞,自立,*,*,五段・サ行,基本縮約,飲回す,ノミマワシャ,ノミマワシャ
歯すっ	動詞,自立,*,*,サ変・−スル,基本縮約,歯する,ヨワイスッ,ヨワイスッ
うちだしゃ	動詞,自立,*,*,五段・サ行,基本縮約,うちだす,ウチダシャ,ウチダシャ
速まっ	動詞,自立,*,*,五段・ラ行,基本縮約,速まる,ハヤマッ,ハヤマッ
化かせっ	動詞,自立,*,*,一段,基本縮約,化かせる,バカセッ,バカセッ
たどりつけっ	動詞,自立,*,*,一段,基本縮約,たどりつける,タドリツケッ,タドリツケッ
聞き入れっ	動詞,自立,*,*,一段,基本縮約,聞き入れる,キキイレッ,キキイレッ
つとめっ	動詞,自立,*,*,一段,基本縮約,つとめる,ツトメッ,ツトメッ
飛びゃ	動詞,自立,*,*,五段・バ行,基本縮約,飛ぶ,トビャ,トビャ
担えっ	動詞,自立,*,*,一段,基本縮約,担える,ニナエッ,ニナエッ
このみゃ	動詞,自立,*,*,五段・マ行,基本縮約,このむ,コノミャ,コノミャ
おどしつけっ	動詞,自立,*,*,一段,基本縮約,おどしつける,オドシツケッ,オドシツケッ
ふくらませっ	動詞,自立,*,*,一段,基本縮約,ふくらませる,フクラマセッ,フクラマセッ
立寄っ	動詞,自立,*,*,五段・ラ行,基本縮約,立寄る,タチヨッ,タチヨッ
みおくっ	動詞,自立,*,*,五段・ラ行,基本縮約,みおくる,ミオクッ,ミオクッ
ふみわけっ	動詞,自立,*,*,一段,基本縮約,ふみわける,フミワケッ,フミワケッ
託けっ	動詞,自立,*,*,一段,基本縮約,託ける,カコツケッ,カコツケッ
託けっ	動詞,自立,*,*,一段,基本縮約,託ける,コトヅケッ,コトズケッ
うせっ	動詞,自立,*,*,一段,基本縮約,うせる,ウセッ,ウセッ
しっすっ	動詞,自立,*,*,サ変・−スル,基本縮約,しっする,シッスッ,シッスッ
きこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,きこむ,キコミャ,キコミャ
じしゃ	動詞,自立,*,*,五段・サ行,基本縮約,じす,ジシャ,ジシャ
追い回しゃ	動詞,自立,*,*,五段・サ行,基本縮約,追い回す,オイマワシャ,オイマワシャ
繰りまわしゃ	動詞,自立,*,*,五段・サ行,基本縮約,繰りまわす,クリマワシャ,クリマワシャ
繰り越しゃ	動詞,自立,*,*,五段・サ行,基本縮約,繰り越す,クリコシャ,クリコシャ
よみやぶっ	動詞,自立,*,*,五段・ラ行,基本縮約,よみやぶる,ヨミヤブッ,ヨミヤブッ
切組みゃ	動詞,自立,*,*,五段・マ行,基本縮約,切組む,キリクミャ,キリクミャ
悪たれっ	動詞,自立,*,*,一段,基本縮約,悪たれる,アクタレッ,アクタレッ
撃ち殺せっ	動詞,自立,*,*,一段,基本縮約,撃ち殺せる,ウチコロセッ,ウチコロセッ
しきっ	動詞,自立,*,*,五段・ラ行,基本縮約,しきる,シキッ,シキッ
執成しゃ	動詞,自立,*,*,五段・サ行,基本縮約,執成す,トリナシャ,トリナシャ
もぎれっ	動詞,自立,*,*,一段,基本縮約,もぎれる,モギレッ,モギレッ
ほしころしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ほしころす,ホシコロシャ,ホシコロシャ
いでたちゃ	動詞,自立,*,*,五段・タ行,基本縮約,いでたつ,イデタチャ,イデタチャ
たゆみゃ	動詞,自立,*,*,五段・マ行,基本縮約,たゆむ,タユミャ,タユミャ
傷つきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,傷つく,キズツキャ,キズツキャ
突き刺しゃ	動詞,自立,*,*,五段・サ行,基本縮約,突き刺す,ツキサシャ,ツキサシャ
さしさわっ	動詞,自立,*,*,五段・ラ行,基本縮約,さしさわる,サシサワッ,サシサワッ
報いっ	動詞,自立,*,*,一段,基本縮約,報いる,ムクイッ,ムクイッ
なおしゃ	動詞,自立,*,*,五段・サ行,基本縮約,なおす,ナオシャ,ナオシャ
とどけっ	動詞,自立,*,*,一段,基本縮約,とどける,トドケッ,トドケッ
使い果たしゃ	動詞,自立,*,*,五段・サ行,基本縮約,使い果たす,ツカイハタシャ,ツカイハタシャ
てりかえしゃ	動詞,自立,*,*,五段・サ行,基本縮約,てりかえす,テリカエシャ,テリカエシャ
ふっきれっ	動詞,自立,*,*,一段,基本縮約,ふっきれる,フッキレッ,フッキレッ
送り出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,送り出す,オクリダシャ,オクリダシャ
きづきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,きづく,キヅキャ,キズキャ
過ごしゃ	動詞,自立,*,*,五段・サ行,基本縮約,過ごす,スゴシャ,スゴシャ
かきあげっ	動詞,自立,*,*,一段,基本縮約,かきあげる,カキアゲッ,カキアゲッ
飛び回れっ	動詞,自立,*,*,一段,基本縮約,飛び回れる,トビマワレッ,トビマワレッ
焦げつきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,焦げつく,コゲツキャ,コゲツキャ
あおげっ	動詞,自立,*,*,一段,基本縮約,あおげる,アオゲッ,アオゲッ
画しゃ	動詞,自立,*,*,五段・サ行,基本縮約,画す,カクシャ,カクシャ
しめっ	動詞,接尾,*,*,一段,基本縮約,しめる,シメッ,シメッ
くい込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,くい込む,クイコミャ,クイコミャ
いならびゃ	動詞,自立,*,*,五段・バ行,基本縮約,いならぶ,イナラビャ,イナラビャ
漬け込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,漬け込む,ツケコミャ,ツケコミャ
這い出でっ	動詞,自立,*,*,一段,基本縮約,這い出でる,ハイデッ,ハイデッ
聞澄ましゃ	動詞,自立,*,*,五段・サ行,基本縮約,聞澄ます,キキスマシャ,キキスマシャ
ねそべっ	動詞,自立,*,*,五段・ラ行,基本縮約,ねそべる,ネソベッ,ネソベッ
現れっ	動詞,自立,*,*,一段,基本縮約,現れる,アラワレッ,アラワレッ
親しめっ	動詞,自立,*,*,一段,基本縮約,親しめる,シタシメッ,シタシメッ
はいいっ	動詞,自立,*,*,五段・ラ行,基本縮約,はいいる,ハイイッ,ハイイッ
進み出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,進み出す,ススミダシャ,ススミダシャ
貸し越しゃ	動詞,自立,*,*,五段・サ行,基本縮約,貸し越す,カシコシャ,カシコシャ
はじいっ	動詞,自立,*,*,五段・ラ行,基本縮約,はじいる,ハジイッ,ハジイッ
封じ込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,封じ込む,フウジコミャ,フージコミャ
炒っ	動詞,自立,*,*,五段・ラ行,基本縮約,炒る,イッ,イッ
取りもてっ	動詞,自立,*,*,一段,基本縮約,取りもてる,トリモテッ,トリモテッ
かなぐり捨てっ	動詞,自立,*,*,一段,基本縮約,かなぐり捨てる,カナグリステッ,カナグリステッ
盛っ	動詞,自立,*,*,五段・ラ行,基本縮約,盛る,モッ,モッ
とばしっ	動詞,自立,*,*,五段・ラ行,基本縮約,とばしる,トバシッ,トバシッ
ふきおろしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ふきおろす,フキオロシャ,フキオロシャ
ふれあえっ	動詞,自立,*,*,一段,基本縮約,ふれあえる,フレアエッ,フレアエッ
申し越しゃ	動詞,自立,*,*,五段・サ行,基本縮約,申し越す,モウシコシャ,モーシコシャ
残しゃ	動詞,自立,*,*,五段・サ行,基本縮約,残す,ノコシャ,ノコシャ
きわ立ちゃ	動詞,自立,*,*,五段・タ行,基本縮約,きわ立つ,キワダチャ,キワダチャ
鬱すっ	動詞,自立,*,*,サ変・−スル,基本縮約,鬱する,ウッスッ,ウッスッ
かたまれっ	動詞,自立,*,*,一段,基本縮約,かたまれる,カタマレッ,カタマレッ
引っ込めっ	動詞,自立,*,*,一段,基本縮約,引っ込める,ヒッコメッ,ヒッコメッ
かんがえだしゃ	動詞,自立,*,*,五段・サ行,基本縮約,かんがえだす,カンガエダシャ,カンガエダシャ
囲みゃ	動詞,自立,*,*,五段・マ行,基本縮約,囲む,カコミャ,カコミャ
繰りあげっ	動詞,自立,*,*,一段,基本縮約,繰りあげる,クリアゲッ,クリアゲッ
思い当たっ	動詞,自立,*,*,五段・ラ行,基本縮約,思い当たる,オモイアタッ,オモイアタッ
事切れっ	動詞,自立,*,*,一段,基本縮約,事切れる,コトキレッ,コトキレッ
切り回せっ	動詞,自立,*,*,一段,基本縮約,切り回せる,キリマワセッ,キリマワセッ
げびっ	動詞,自立,*,*,一段,基本縮約,げびる,ゲビッ,ゲビッ
縋れっ	動詞,自立,*,*,一段,基本縮約,縋れる,スガレッ,スガレッ
でかしゃ	動詞,自立,*,*,五段・サ行,基本縮約,でかす,デカシャ,デカシャ
やくすっ	動詞,自立,*,*,サ変・−スル,基本縮約,やくする,ヤクスッ,ヤクスッ
むしゃ	動詞,自立,*,*,五段・サ行,基本縮約,むす,ムシャ,ムシャ
つっぱなしゃ	動詞,自立,*,*,五段・サ行,基本縮約,つっぱなす,ツッパナシャ,ツッパナシャ
まどろみゃ	動詞,自立,*,*,五段・マ行,基本縮約,まどろむ,マドロミャ,マドロミャ
動かしゃ	動詞,自立,*,*,五段・サ行,基本縮約,動かす,ウゴカシャ,ウゴカシャ
取組みゃ	動詞,自立,*,*,五段・マ行,基本縮約,取組む,トリクミャ,トリクミャ
しおおせっ	動詞,自立,*,*,一段,基本縮約,しおおせる,シオオセッ,シオーセッ
めくるめきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,めくるめく,メクルメキャ,メクルメキャ
預け入れっ	動詞,自立,*,*,一段,基本縮約,預け入れる,アヅケイレッ,アズケイレッ
引き攣れっ	動詞,自立,*,*,一段,基本縮約,引き攣れる,ヒキツレッ,ヒキツレッ
聞き合せっ	動詞,自立,*,*,一段,基本縮約,聞き合せる,キキアワセッ,キキアワセッ
はれあがっ	動詞,自立,*,*,五段・ラ行,基本縮約,はれあがる,ハレアガッ,ハレアガッ
振り回せっ	動詞,自立,*,*,一段,基本縮約,振り回せる,フリマワセッ,フリマワセッ
せんじつめっ	動詞,自立,*,*,一段,基本縮約,せんじつめる,センジツメッ,センジツメッ
高まっ	動詞,自立,*,*,五段・ラ行,基本縮約,高まる,タカマッ,タカマッ
彫り込めっ	動詞,自立,*,*,一段,基本縮約,彫り込める,ホリコメッ,ホリコメッ
乗り上げっ	動詞,自立,*,*,一段,基本縮約,乗り上げる,ノリアゲッ,ノリアゲッ
取り合えっ	動詞,自立,*,*,一段,基本縮約,取り合える,トリアエッ,トリアエッ
まいこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,まいこむ,マイコミャ,マイコミャ
たちのけっ	動詞,自立,*,*,一段,基本縮約,たちのける,タチノケッ,タチノケッ
ほとばしっ	動詞,自立,*,*,五段・ラ行,基本縮約,ほとばしる,ホトバシッ,ホトバシッ
ひかれっ	動詞,自立,*,*,一段,基本縮約,ひかれる,ヒカレッ,ヒカレッ
世づきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,世づく,ヨヅキャ,ヨズキャ
やぶれっ	動詞,自立,*,*,一段,基本縮約,やぶれる,ヤブレッ,ヤブレッ
書き送っ	動詞,自立,*,*,五段・ラ行,基本縮約,書き送る,カキオクッ,カキオクッ
やってくっ	動詞,自立,*,*,カ変・クル,基本縮約,やってくる,ヤッテクッ,ヤッテクッ
送っ	動詞,自立,*,*,五段・ラ行,基本縮約,送る,オクッ,オクッ
打直せっ	動詞,自立,*,*,一段,基本縮約,打直せる,ウチナオセッ,ウチナオセッ
いきっ	動詞,自立,*,*,一段,基本縮約,いきる,イキッ,イキッ
かしだしゃ	動詞,自立,*,*,五段・サ行,基本縮約,かしだす,カシダシャ,カシダシャ
ふらしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ふらす,フラシャ,フラシャ
旅だちゃ	動詞,自立,*,*,五段・タ行,基本縮約,旅だつ,タビダチャ,タビダチャ
上がっ	動詞,自立,*,*,五段・ラ行,基本縮約,上がる,アガッ,アガッ
煮詰っ	動詞,自立,*,*,五段・ラ行,基本縮約,煮詰る,ニツマッ,ニツマッ
かわいがっ	動詞,自立,*,*,五段・ラ行,基本縮約,かわいがる,カワイガッ,カワイガッ
つぼめっ	動詞,自立,*,*,一段,基本縮約,つぼめる,ツボメッ,ツボメッ
ふりわけっ	動詞,自立,*,*,一段,基本縮約,ふりわける,フリワケッ,フリワケッ
つきやぶれっ	動詞,自立,*,*,一段,基本縮約,つきやぶれる,ツキヤブレッ,ツキヤブレッ
かけつけっ	動詞,自立,*,*,一段,基本縮約,かけつける,カケツケッ,カケツケッ
あきれっ	動詞,自立,*,*,一段,基本縮約,あきれる,アキレッ,アキレッ
取りあげっ	動詞,自立,*,*,一段,基本縮約,取りあげる,トリアゲッ,トリアゲッ
いのっ	動詞,自立,*,*,五段・ラ行,基本縮約,いのる,イノッ,イノッ
うまれあわしゃ	動詞,自立,*,*,五段・サ行,基本縮約,うまれあわす,ウマレアワシャ,ウマレアワシャ
折かさなっ	動詞,自立,*,*,五段・ラ行,基本縮約,折かさなる,オリカサナッ,オリカサナッ
のっかっ	動詞,自立,*,*,五段・ラ行,基本縮約,のっかる,ノッカッ,ノッカッ
食い止めっ	動詞,自立,*,*,一段,基本縮約,食い止める,クイトメッ,クイトメッ
なでおろしゃ	動詞,自立,*,*,五段・サ行,基本縮約,なでおろす,ナデオロシャ,ナデオロシャ
ほりかえしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ほりかえす,ホリカエシャ,ホリカエシャ
うりあげっ	動詞,自立,*,*,一段,基本縮約,うりあげる,ウリアゲッ,ウリアゲッ
ひきあげっ	動詞,自立,*,*,一段,基本縮約,ひきあげる,ヒキアゲッ,ヒキアゲッ
わけっ	動詞,自立,*,*,一段,基本縮約,わける,ワケッ,ワケッ
着こなしゃ	動詞,自立,*,*,五段・サ行,基本縮約,着こなす,キコナシャ,キコナシャ
取り運べっ	動詞,自立,*,*,一段,基本縮約,取り運べる,トリハコベッ,トリハコベッ
湯引きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,湯引く,ユビキャ,ユビキャ
たまりかねっ	動詞,自立,*,*,一段,基本縮約,たまりかねる,タマリカネッ,タマリカネッ
たちはたらきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,たちはたらく,タチハタラキャ,タチハタラキャ
見立てっ	動詞,自立,*,*,一段,基本縮約,見立てる,ミタテッ,ミタテッ
てづまっ	動詞,自立,*,*,五段・ラ行,基本縮約,てづまる,テヅマッ,テヅマッ
生まれ合わしゃ	動詞,自立,*,*,五段・サ行,基本縮約,生まれ合わす,ウマレアワシャ,ウマレアワシャ
押しかぶさっ	動詞,自立,*,*,五段・ラ行,基本縮約,押しかぶさる,オシカブサッ,オシカブサッ
犯しゃ	動詞,自立,*,*,五段・サ行,基本縮約,犯す,オカシャ,オカシャ
いいあやまっ	動詞,自立,*,*,五段・ラ行,基本縮約,いいあやまる,イイアヤマッ,イーアヤマッ
くらいすっ	動詞,自立,*,*,サ変・−スル,基本縮約,くらいする,クライスッ,クライスッ
振出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,振出す,フリダシャ,フリダシャ
すくみ上がっ	動詞,自立,*,*,五段・ラ行,基本縮約,すくみ上がる,スクミアガッ,スクミアガッ
高じっ	動詞,自立,*,*,一段,基本縮約,高じる,コウジッ,コージッ
惟みっ	動詞,自立,*,*,一段,基本縮約,惟みる,オモンミッ,オモンミッ
績みゃ	動詞,自立,*,*,五段・マ行,基本縮約,績む,ウミャ,ウミャ
くどけっ	動詞,自立,*,*,一段,基本縮約,くどける,クドケッ,クドケッ
ひきつぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,ひきつぐ,ヒキツギャ,ヒキツギャ
芽差しゃ	動詞,自立,*,*,五段・サ行,基本縮約,芽差す,メザシャ,メザシャ
からましゃ	動詞,自立,*,*,五段・サ行,基本縮約,からます,カラマシャ,カラマシャ
付き合えっ	動詞,自立,*,*,一段,基本縮約,付き合える,ツキアエッ,ツキアエッ
仰っ	動詞,自立,*,*,五段・ラ行,基本縮約,仰る,オッシャッ,オッシャッ
省きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,省く,ハブキャ,ハブキャ
追い求めっ	動詞,自立,*,*,一段,基本縮約,追い求める,オイモトメッ,オイモトメッ
せめよせっ	動詞,自立,*,*,一段,基本縮約,せめよせる,セメヨセッ,セメヨセッ
放れっ	動詞,自立,*,*,一段,基本縮約,放れる,ハナレッ,ハナレッ
うちこわしゃ	動詞,自立,*,*,五段・サ行,基本縮約,うちこわす,ウチコワシャ,ウチコワシャ
生れ落ちっ	動詞,自立,*,*,一段,基本縮約,生れ落ちる,ウマレオチッ,ウマレオチッ
慎みゃ	動詞,自立,*,*,五段・マ行,基本縮約,慎む,ツツシミャ,ツツシミャ
打ちくだきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,打ちくだく,ウチクダキャ,ウチクダキャ
なげかちゃ	動詞,自立,*,*,五段・タ行,基本縮約,なげかつ,ナゲカチャ,ナゲカチャ
沸き起っ	動詞,自立,*,*,五段・ラ行,基本縮約,沸き起る,ワキオコッ,ワキオコッ
腐らしゃ	動詞,自立,*,*,五段・サ行,基本縮約,腐らす,クサラシャ,クサラシャ
枕すっ	動詞,自立,*,*,サ変・−スル,基本縮約,枕する,マクラスッ,マクラスッ
せっつきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,せっつく,セッツキャ,セッツキャ
伺えっ	動詞,自立,*,*,一段,基本縮約,伺える,ウカガエッ,ウカガエッ
挺すっ	動詞,自立,*,*,サ変・−スル,基本縮約,挺する,テイスッ,テイスッ
絶てっ	動詞,自立,*,*,一段,基本縮約,絶てる,タテッ,タテッ
つかまつっ	動詞,自立,*,*,五段・ラ行,基本縮約,つかまつる,ツカマツッ,ツカマツッ
くみつきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,くみつく,クミツキャ,クミツキャ
せおいこめっ	動詞,自立,*,*,一段,基本縮約,せおいこめる,セオイコメッ,セオイコメッ
あけはなれっ	動詞,自立,*,*,一段,基本縮約,あけはなれる,アケハナレッ,アケハナレッ
取結びゃ	動詞,自立,*,*,五段・バ行,基本縮約,取結ぶ,トリムスビャ,トリムスビャ
ちぢこまっ	動詞,自立,*,*,五段・ラ行,基本縮約,ちぢこまる,チヂコマッ,チジコマッ
みぬけっ	動詞,自立,*,*,一段,基本縮約,みぬける,ミヌケッ,ミヌケッ
濡れっ	動詞,自立,*,*,一段,基本縮約,濡れる,ヌレッ,ヌレッ
泣けっ	動詞,自立,*,*,一段,基本縮約,泣ける,ナケッ,ナケッ
励ませっ	動詞,自立,*,*,一段,基本縮約,励ませる,ハゲマセッ,ハゲマセッ
入れ替えっ	動詞,自立,*,*,一段,基本縮約,入れ替える,イレカエッ,イレカエッ
ほおけっ	動詞,自立,*,*,一段,基本縮約,ほおける,ホオケッ,ホーケッ
嫁ぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,嫁ぐ,トツギャ,トツギャ
照らせっ	動詞,自立,*,*,一段,基本縮約,照らせる,テラセッ,テラセッ
ひきさきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,ひきさく,ヒキサキャ,ヒキサキャ
ふみゃ	動詞,自立,*,*,五段・マ行,基本縮約,ふむ,フミャ,フミャ
発きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,発く,アバキャ,アバキャ
駆け込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,駆け込む,カケコミャ,カケコミャ
さがしだしゃ	動詞,自立,*,*,五段・サ行,基本縮約,さがしだす,サガシダシャ,サガシダシャ
ねじ向けっ	動詞,自立,*,*,一段,基本縮約,ねじ向ける,ネジムケッ,ネジムケッ
えらびだせっ	動詞,自立,*,*,一段,基本縮約,えらびだせる,エラビダセッ,エラビダセッ
借倒しゃ	動詞,自立,*,*,五段・サ行,基本縮約,借倒す,カリタオシャ,カリタオシャ
とびかけっ	動詞,自立,*,*,五段・ラ行,基本縮約,とびかける,トビカケッ,トビカケッ
悔改めっ	動詞,自立,*,*,一段,基本縮約,悔改める,クイアラタメッ,クイアラタメッ
準えっ	動詞,自立,*,*,一段,基本縮約,準える,ナゾラエッ,ナゾラエッ
準えっ	動詞,自立,*,*,一段,基本縮約,準える,ナズラエッ,ナズラエッ
さえ渡っ	動詞,自立,*,*,五段・ラ行,基本縮約,さえ渡る,サエワタッ,サエワタッ
息せききっ	動詞,自立,*,*,五段・ラ行,基本縮約,息せききる,イキセキキッ,イキセキキッ
逃げ回っ	動詞,自立,*,*,五段・ラ行,基本縮約,逃げ回る,ニゲマワッ,ニゲマワッ
いいなおせっ	動詞,自立,*,*,一段,基本縮約,いいなおせる,イイナオセッ,イーナオセッ
呑み込めっ	動詞,自立,*,*,一段,基本縮約,呑み込める,ノミコメッ,ノミコメッ
有り合せっ	動詞,自立,*,*,一段,基本縮約,有り合せる,アリアワセッ,アリアワセッ
さとれっ	動詞,自立,*,*,一段,基本縮約,さとれる,サトレッ,サトレッ
たばねっ	動詞,自立,*,*,一段,基本縮約,たばねる,タバネッ,タバネッ
入組みゃ	動詞,自立,*,*,五段・マ行,基本縮約,入組む,イリクミャ,イリクミャ
打込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,打込む,ウチコミャ,ウチコミャ
突止めっ	動詞,自立,*,*,一段,基本縮約,突止める,ツキトメッ,ツキトメッ
焼け落ちっ	動詞,自立,*,*,一段,基本縮約,焼け落ちる,ヤケオチッ,ヤケオチッ
取っ	動詞,自立,*,*,五段・ラ行,基本縮約,取る,トッ,トッ
齎しゃ	動詞,自立,*,*,五段・サ行,基本縮約,齎す,モタラシャ,モタラシャ
敷き詰めっ	動詞,自立,*,*,一段,基本縮約,敷き詰める,シキツメッ,シキツメッ
よじ登っ	動詞,自立,*,*,五段・ラ行,基本縮約,よじ登る,ヨジノボッ,ヨジノボッ
色褪せっ	動詞,自立,*,*,一段,基本縮約,色褪せる,イロアセッ,イロアセッ
なのっ	動詞,自立,*,*,五段・ラ行,基本縮約,なのる,ナノッ,ナノッ
うちとけっ	動詞,自立,*,*,一段,基本縮約,うちとける,ウチトケッ,ウチトケッ
古っ	動詞,自立,*,*,五段・ラ行,基本縮約,古る,フッ,フッ
喩えっ	動詞,自立,*,*,一段,基本縮約,喩える,タトエッ,タトエッ
しゃがみこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,しゃがみこむ,シャガミコミャ,シャガミコミャ
吠えっ	動詞,自立,*,*,一段,基本縮約,吠える,ホエッ,ホエッ
明らめっ	動詞,自立,*,*,一段,基本縮約,明らめる,アキラメッ,アキラメッ
にくみゃ	動詞,自立,*,*,五段・マ行,基本縮約,にくむ,ニクミャ,ニクミャ
打ち切れっ	動詞,自立,*,*,一段,基本縮約,打ち切れる,ウチキレッ,ウチキレッ
調えっ	動詞,自立,*,*,一段,基本縮約,調える,トトノエッ,トトノエッ
編めっ	動詞,自立,*,*,一段,基本縮約,編める,アメッ,アメッ
しりぬきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,しりぬく,シリヌキャ,シリヌキャ
しょぼ濡れっ	動詞,自立,*,*,一段,基本縮約,しょぼ濡れる,ショボヌレッ,ショボヌレッ
居竦まっ	動詞,自立,*,*,五段・ラ行,基本縮約,居竦まる,イスクマッ,イスクマッ
たがやしゃ	動詞,自立,*,*,五段・サ行,基本縮約,たがやす,タガヤシャ,タガヤシャ
へめぐっ	動詞,自立,*,*,五段・ラ行,基本縮約,へめぐる,ヘメグッ,ヘメグッ
写し出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,写し出す,ウツシダシャ,ウツシダシャ
つめっ	動詞,自立,*,*,五段・ラ行,基本縮約,つめる,ツメッ,ツメッ
捜し当てっ	動詞,自立,*,*,一段,基本縮約,捜し当てる,サガシアテッ,サガシアテッ
ひきさっ	動詞,自立,*,*,五段・ラ行,基本縮約,ひきさる,ヒキサッ,ヒキサッ
爪弾きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,爪弾く,ツマビキャ,ツマビキャ
あざむけっ	動詞,自立,*,*,一段,基本縮約,あざむける,アザムケッ,アザムケッ
数え切れっ	動詞,自立,*,*,一段,基本縮約,数え切れる,カゾエキレッ,カゾエキレッ
降り込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,降り込む,フリコミャ,フリコミャ
はなやぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,はなやぐ,ハナヤギャ,ハナヤギャ
抛つちゃ	動詞,自立,*,*,五段・タ行,基本縮約,抛つつ,ナゲウチャ,ナゲウチャ
紛れ込めっ	動詞,自立,*,*,一段,基本縮約,紛れ込める,マギレコメッ,マギレコメッ
闘えっ	動詞,自立,*,*,一段,基本縮約,闘える,タタカエッ,タタカエッ
方向付けっ	動詞,自立,*,*,一段,基本縮約,方向付ける,ホウコウヅケッ,ホーコーズケッ
略しゃ	動詞,自立,*,*,五段・サ行,基本縮約,略す,ックシャ,ックシャ
跪きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,跪く,ヒザマズキャ,ヒザマズキャ
刻み付けっ	動詞,自立,*,*,一段,基本縮約,刻み付ける,キザミツケッ,キザミツケッ
言い渡せっ	動詞,自立,*,*,一段,基本縮約,言い渡せる,イイワタセッ,イーワタセッ
潰しゃ	動詞,自立,*,*,五段・サ行,基本縮約,潰す,ツブシャ,ツブシャ
開け放しゃ	動詞,自立,*,*,五段・サ行,基本縮約,開け放す,アケハナシャ,アケハナシャ
捲し上げっ	動詞,自立,*,*,一段,基本縮約,捲し上げる,マクシアゲッ,マクシアゲッ
はみ出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,はみ出す,ハミダシャ,ハミダシャ
いきながらえっ	動詞,自立,*,*,一段,基本縮約,いきながらえる,イキナガラエッ,イキナガラエッ
あきめきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,あきめく,アキメキャ,アキメキャ
適えっ	動詞,自立,*,*,一段,基本縮約,適える,カナエッ,カナエッ
賭すっ	動詞,自立,*,*,サ変・−スル,基本縮約,賭する,トスッ,トスッ
とおりすぎっ	動詞,自立,*,*,一段,基本縮約,とおりすぎる,トオリスギッ,トーリスギッ
取り締まれっ	動詞,自立,*,*,一段,基本縮約,取り締まれる,トリシマレッ,トリシマレッ
さぼっ	動詞,自立,*,*,五段・ラ行,基本縮約,さぼる,サボッ,サボッ
付すっ	動詞,自立,*,*,サ変・−スル,基本縮約,付する,フスッ,フスッ
踏み越しゃ	動詞,自立,*,*,五段・サ行,基本縮約,踏み越す,フミコシャ,フミコシャ
乗越えっ	動詞,自立,*,*,一段,基本縮約,乗越える,ノリコエッ,ノリコエッ
勢いづきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,勢いづく,イキオイヅキャ,イキオイズキャ
入り乱れっ	動詞,自立,*,*,一段,基本縮約,入り乱れる,イリミダレッ,イリミダレッ
組伏せっ	動詞,自立,*,*,一段,基本縮約,組伏せる,クミフセッ,クミフセッ
うちきれっ	動詞,自立,*,*,一段,基本縮約,うちきれる,ウチキレッ,ウチキレッ
ききだせっ	動詞,自立,*,*,一段,基本縮約,ききだせる,キキダセッ,キキダセッ
破きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,破く,ヤブキャ,ヤブキャ
食すっ	動詞,自立,*,*,サ変・−スル,基本縮約,食する,ショクスッ,ショクスッ
