とん	動詞,非自立,*,*,五段・ラ行,未然特殊,て＋おる,トン,トン
まるめこまん	動詞,自立,*,*,五段・マ行,未然特殊,まるめこむ,マルメコマン,マルメコマン
回り込まん	動詞,自立,*,*,五段・マ行,未然特殊,回り込む,マワリコマン,マワリコマン
屈まん	動詞,自立,*,*,五段・マ行,未然特殊,屈む,カガマン,カガマン
孵さん	動詞,自立,*,*,五段・サ行,未然特殊,孵す,カエサン,カエサン
取散らさん	動詞,自立,*,*,五段・サ行,未然特殊,取散らす,トリチラサン,トリチラサン
思い起さん	動詞,自立,*,*,五段・サ行,未然特殊,思い起す,オモイオコサン,オモイオコサン
引きおこさん	動詞,自立,*,*,五段・サ行,未然特殊,引きおこす,ヒキオコサン,ヒキオコサン
拭き込まん	動詞,自立,*,*,五段・マ行,未然特殊,拭き込む,フキコマン,フキコマン
うるおさん	動詞,自立,*,*,五段・サ行,未然特殊,うるおす,ウルオサン,ウルオサン
とがらさん	動詞,自立,*,*,五段・サ行,未然特殊,とがらす,トガラサン,トガラサン
来あわさん	動詞,自立,*,*,五段・サ行,未然特殊,来あわす,キアワサン,キアワサン
拒まん	動詞,自立,*,*,五段・マ行,未然特殊,拒む,コバマン,コバマン
おびやかさん	動詞,自立,*,*,五段・サ行,未然特殊,おびやかす,オビヤカサン,オビヤカサン
比さん	動詞,自立,*,*,五段・サ行,未然特殊,比す,ヒサン,ヒサン
託さん	動詞,自立,*,*,五段・サ行,未然特殊,託す,タクサン,タクサン
突っ返さん	動詞,自立,*,*,五段・サ行,未然特殊,突っ返す,ツッカエサン,ツッカエサン
寝ころばん	動詞,自立,*,*,五段・バ行,未然特殊,寝ころぶ,ネコロバン,ネコロバン
試さん	動詞,自立,*,*,五段・サ行,未然特殊,試す,タメサン,タメサン
起さん	動詞,自立,*,*,五段・サ行,未然特殊,起す,オコサン,オコサン
突ぷさん	動詞,自立,*,*,五段・サ行,未然特殊,突ぷす,ツップサン,ツップサン
はじき出さん	動詞,自立,*,*,五段・サ行,未然特殊,はじき出す,ハジキダサン,ハジキダサン
うめこまん	動詞,自立,*,*,五段・マ行,未然特殊,うめこむ,ウメコマン,ウメコマン
かいもどさん	動詞,自立,*,*,五段・サ行,未然特殊,かいもどす,カイモドサン,カイモドサン
往なん	動詞,自立,*,*,五段・ナ行,未然特殊,往ぬ,イナン,イナン
はこびこまん	動詞,自立,*,*,五段・マ行,未然特殊,はこびこむ,ハコビコマン,ハコビコマン
競り落さん	動詞,自立,*,*,五段・サ行,未然特殊,競り落す,セリオトサン,セリオトサン
立込まん	動詞,自立,*,*,五段・マ行,未然特殊,立込む,タテコマン,タテコマン
費さん	動詞,自立,*,*,五段・サ行,未然特殊,費す,ツイヤサン,ツイヤサン
けたおさん	動詞,自立,*,*,五段・サ行,未然特殊,けたおす,ケタオサン,ケタオサン
いいのこさん	動詞,自立,*,*,五段・サ行,未然特殊,いいのこす,イイノコサ,イーノコサ
きりださん	動詞,自立,*,*,五段・サ行,未然特殊,きりだす,キリダサン,キリダサン
しろしめさん	動詞,自立,*,*,五段・サ行,未然特殊,しろしめす,シロシメサン,シロシメサン
取りこまん	動詞,自立,*,*,五段・マ行,未然特殊,取りこむ,トリコマン,トリコマン
ほめそやさん	動詞,自立,*,*,五段・サ行,未然特殊,ほめそやす,ホメソヤサン,ホメソヤサン
むくまん	動詞,自立,*,*,五段・マ行,未然特殊,むくむ,ムクマン,ムクマン
おれ込まん	動詞,自立,*,*,五段・マ行,未然特殊,おれ込む,オレコマン,オレコマン
運び出さん	動詞,自立,*,*,五段・サ行,未然特殊,運び出す,ハコビダサン,ハコビダサン
すきこのまん	動詞,自立,*,*,五段・マ行,未然特殊,すきこのむ,スキコノマン,スキコノマン
座さん	動詞,自立,*,*,五段・サ行,未然特殊,座す,ザサン,ザサン
話し込まん	動詞,自立,*,*,五段・マ行,未然特殊,話し込む,ハナシコマン,ハナシコマン
のりつがん	動詞,自立,*,*,五段・ガ行,未然特殊,のりつぐ,ノリツガン,ノリツガン
あらさん	動詞,自立,*,*,五段・サ行,未然特殊,あらす,アラサン,アラサン
はきださん	動詞,自立,*,*,五段・サ行,未然特殊,はきだす,ハキダサン,ハキダサン
いたまん	動詞,自立,*,*,五段・マ行,未然特殊,いたむ,イタマン,イタマン
きたさん	動詞,自立,*,*,五段・サ行,未然特殊,きたす,キタサン,キタサン
差回さん	動詞,自立,*,*,五段・サ行,未然特殊,差回す,サシマワサン,サシマワサン
鬱がん	動詞,自立,*,*,五段・ガ行,未然特殊,鬱ぐ,フサガン,フサガン
遷さん	動詞,自立,*,*,五段・サ行,未然特殊,遷す,ウツサン,ウツサン
ころがりこまん	動詞,自立,*,*,五段・マ行,未然特殊,ころがりこむ,コロガリコマン,コロガリコマン
堕さん	動詞,自立,*,*,五段・サ行,未然特殊,堕す,ダサン,ダサン
きわだたさん	動詞,自立,*,*,五段・サ行,未然特殊,きわだたす,キワダタサン,キワダタサン
みせびらかさん	動詞,自立,*,*,五段・サ行,未然特殊,みせびらかす,ミセビラカサン,ミセビラカサン
あやしまん	動詞,自立,*,*,五段・マ行,未然特殊,あやしむ,アヤシマン,アヤシマン
切り回さん	動詞,自立,*,*,五段・サ行,未然特殊,切り回す,キリマワサン,キリマワサン
取り直さん	動詞,自立,*,*,五段・サ行,未然特殊,取り直す,トリナオサン,トリナオサン
摘まん	動詞,自立,*,*,五段・マ行,未然特殊,摘む,ツマン,ツマン
摘まん	動詞,自立,*,*,五段・マ行,未然特殊,摘む,ツママン,ツママン
ひっかつがん	動詞,自立,*,*,五段・ガ行,未然特殊,ひっかつぐ,ヒッカツガン,ヒッカツガン
聞返さん	動詞,自立,*,*,五段・サ行,未然特殊,聞返す,キキカエサン,キキカエサン
くやまん	動詞,自立,*,*,五段・マ行,未然特殊,くやむ,クヤマン,クヤマン
凌がん	動詞,自立,*,*,五段・ガ行,未然特殊,凌ぐ,シノガン,シノガン
言いなさん	動詞,自立,*,*,五段・サ行,未然特殊,言いなす,イイナサ,イーナサ
説おこさん	動詞,自立,*,*,五段・サ行,未然特殊,説おこす,トキオコサン,トキオコサン
いそがさん	動詞,自立,*,*,五段・サ行,未然特殊,いそがす,イソガサン,イソガサン
すみなさん	動詞,自立,*,*,五段・サ行,未然特殊,すみなす,スミナサン,スミナサン
ともさん	動詞,自立,*,*,五段・サ行,未然特殊,ともす,トモサン,トモサン
食散らさん	動詞,自立,*,*,五段・サ行,未然特殊,食散らす,クイチラサン,クイチラサン
つみのこさん	動詞,自立,*,*,五段・サ行,未然特殊,つみのこす,ツミノコサン,ツミノコサン
たたみこまん	動詞,自立,*,*,五段・マ行,未然特殊,たたみこむ,タタミコマン,タタミコマン
寛がん	動詞,自立,*,*,五段・ガ行,未然特殊,寛ぐ,クツロガン,クツロガン
折り畳まん	動詞,自立,*,*,五段・マ行,未然特殊,折り畳む,オリタタマン,オリタタマン
はらいこまん	動詞,自立,*,*,五段・マ行,未然特殊,はらいこむ,ハライコマン,ハライコマン
うごかさん	動詞,自立,*,*,五段・サ行,未然特殊,うごかす,ウゴカサン,ウゴカサン
あみださん	動詞,自立,*,*,五段・サ行,未然特殊,あみだす,アミダサン,アミダサン
返さん	動詞,自立,*,*,五段・サ行,未然特殊,返す,カエサン,カエサン
ききおよばん	動詞,自立,*,*,五段・バ行,未然特殊,ききおよぶ,キキオヨバン,キキオヨバン
送り込まん	動詞,自立,*,*,五段・マ行,未然特殊,送り込む,オクリコマン,オクリコマン
振り乱さん	動詞,自立,*,*,五段・サ行,未然特殊,振り乱す,フリミダサン,フリミダサン
張り飛ばさん	動詞,自立,*,*,五段・サ行,未然特殊,張り飛ばす,ハリトバサン,ハリトバサン
振乱さん	動詞,自立,*,*,五段・サ行,未然特殊,振乱す,フリミダサン,フリミダサン
差さん	動詞,自立,*,*,五段・サ行,未然特殊,差す,ササン,ササン
つきとばさん	動詞,自立,*,*,五段・サ行,未然特殊,つきとばす,ツキトバサン,ツキトバサン
振り翳さん	動詞,自立,*,*,五段・サ行,未然特殊,振り翳す,フリカザサン,フリカザサン
まぶさん	動詞,自立,*,*,五段・サ行,未然特殊,まぶす,マブサン,マブサン
たて込まん	動詞,自立,*,*,五段・マ行,未然特殊,たて込む,タテコマン,タテコマン
鋳込まん	動詞,自立,*,*,五段・マ行,未然特殊,鋳込む,イコマン,イコマン
みすごさん	動詞,自立,*,*,五段・サ行,未然特殊,みすごす,ミスゴサン,ミスゴサン
刈り急がん	動詞,自立,*,*,五段・ガ行,未然特殊,刈り急ぐ,カリイソガン,カリイソガン
賭さん	動詞,自立,*,*,五段・サ行,未然特殊,賭す,トサン,トサン
待ち合わさん	動詞,自立,*,*,五段・サ行,未然特殊,待ち合わす,マチアワサン,マチアワサン
盗まん	動詞,自立,*,*,五段・マ行,未然特殊,盗む,ヌスマン,ヌスマン
うけつがん	動詞,自立,*,*,五段・ガ行,未然特殊,うけつぐ,ウケツガン,ウケツガン
鼻じろまん	動詞,自立,*,*,五段・マ行,未然特殊,鼻じろむ,ハナジロマン,ハナジロマン
挟まん	動詞,自立,*,*,五段・マ行,未然特殊,挟む,ハサマン,ハサマン
挟まん	動詞,自立,*,*,五段・マ行,未然特殊,挟む,サシハサマン,サシハサマン
いこまん	動詞,自立,*,*,五段・マ行,未然特殊,いこむ,イコマン,イコマン
たのしまん	動詞,自立,*,*,五段・マ行,未然特殊,たのしむ,タノシマン,タノシマン
混ぜかえさん	動詞,自立,*,*,五段・サ行,未然特殊,混ぜかえす,マゼカエサン,マゼカエサン
取り出さん	動詞,自立,*,*,五段・サ行,未然特殊,取り出す,トリダサン,トリダサン
抜き出さん	動詞,自立,*,*,五段・サ行,未然特殊,抜き出す,ヌキダサン,ヌキダサン
なきこまん	動詞,自立,*,*,五段・マ行,未然特殊,なきこむ,ナキコマン,ナキコマン
つけ込まん	動詞,自立,*,*,五段・マ行,未然特殊,つけ込む,ツケコマン,ツケコマン
釣り出さん	動詞,自立,*,*,五段・サ行,未然特殊,釣り出す,ツリダサン,ツリダサン
ひり出さん	動詞,自立,*,*,五段・サ行,未然特殊,ひり出す,ヒリダサン,ヒリダサン
かえさん	動詞,自立,*,*,五段・サ行,未然特殊,かえす,カエサン,カエサン
騙かさん	動詞,自立,*,*,五段・サ行,未然特殊,騙かす,ダマカサン,ダマカサン
ふりこまん	動詞,自立,*,*,五段・マ行,未然特殊,ふりこむ,フリコマン,フリコマン
編出さん	動詞,自立,*,*,五段・サ行,未然特殊,編出す,アミダサン,アミダサン
飛込まん	動詞,自立,*,*,五段・マ行,未然特殊,飛込む,トビコマン,トビコマン
掬ばん	動詞,自立,*,*,五段・バ行,未然特殊,掬ぶ,ムスバン,ムスバン
暗まさん	動詞,自立,*,*,五段・サ行,未然特殊,暗ます,クラマサン,クラマサン
はこばん	動詞,自立,*,*,五段・バ行,未然特殊,はこぶ,ハコバン,ハコバン
喜ばん	動詞,自立,*,*,五段・バ行,未然特殊,喜ぶ,ヨロコバン,ヨロコバン
さきだたん	動詞,自立,*,*,五段・タ行,未然特殊,さきだつ,サキダタン,サキダタン
