とん	動詞,非自立,*,*,五段・ラ行,未然特殊,て＋おる,トン,トン
こらさん	動詞,自立,*,*,五段・サ行,未然特殊,こらす,コラサン,コラサン
払わさん	動詞,自立,*,*,五段・サ行,未然特殊,払わす,ハラワサン,ハラワサン
眠りこまん	動詞,自立,*,*,五段・マ行,未然特殊,眠りこむ,ネムリコマン,ネムリコマン
明かさん	動詞,自立,*,*,五段・サ行,未然特殊,明かす,アカサン,アカサン
思いなおさん	動詞,自立,*,*,五段・サ行,未然特殊,思いなおす,オモイナオサン,オモイナオサン
射たん	動詞,自立,*,*,五段・タ行,未然特殊,射つ,ウタン,ウタン
しめころさん	動詞,自立,*,*,五段・サ行,未然特殊,しめころす,シメコロサン,シメコロサン
寄こさん	動詞,自立,*,*,五段・サ行,未然特殊,寄こす,ヨコサン,ヨコサン
ききもらさん	動詞,自立,*,*,五段・サ行,未然特殊,ききもらす,キキモラサン,キキモラサン
やり直さん	動詞,自立,*,*,五段・サ行,未然特殊,やり直す,ヤリナオサン,ヤリナオサン
考え込まん	動詞,自立,*,*,五段・マ行,未然特殊,考え込む,カンガエコマン,カンガエコマン
読み直さん	動詞,自立,*,*,五段・サ行,未然特殊,読み直す,ヨミナオサン,ヨミナオサン
よびださん	動詞,自立,*,*,五段・サ行,未然特殊,よびだす,ヨビダサン,ヨビダサン
手渡さん	動詞,自立,*,*,五段・サ行,未然特殊,手渡す,テワタサン,テワタサン
めあわさん	動詞,自立,*,*,五段・サ行,未然特殊,めあわす,メアワサン,メアワサン
みあわさん	動詞,自立,*,*,五段・サ行,未然特殊,みあわす,ミアワサン,ミアワサン
払込まん	動詞,自立,*,*,五段・マ行,未然特殊,払込む,ハライコマン,ハライコマン
ねむらさん	動詞,自立,*,*,五段・サ行,未然特殊,ねむらす,ネムラサン,ネムラサン
くみこまん	動詞,自立,*,*,五段・マ行,未然特殊,くみこむ,クミコマン,クミコマン
いいつくさん	動詞,自立,*,*,五段・サ行,未然特殊,いいつくす,イイツクサ,イーツクサ
切り廻さん	動詞,自立,*,*,五段・サ行,未然特殊,切り廻す,キリマワサン,キリマワサン
うきたたん	動詞,自立,*,*,五段・タ行,未然特殊,うきたつ,ウキタタン,ウキタタン
なきはらさん	動詞,自立,*,*,五段・サ行,未然特殊,なきはらす,ナキハラサン,ナキハラサン
ためこまん	動詞,自立,*,*,五段・マ行,未然特殊,ためこむ,タメコマン,タメコマン
とばん	動詞,自立,*,*,五段・バ行,未然特殊,とぶ,トバン,トバン
引っつかまん	動詞,自立,*,*,五段・マ行,未然特殊,引っつかむ,ヒッツカマン,ヒッツカマン
かき鳴さん	動詞,自立,*,*,五段・サ行,未然特殊,かき鳴す,カキナサン,カキナサン
ころばさん	動詞,自立,*,*,五段・サ行,未然特殊,ころばす,コロバサン,コロバサン
いきたたん	動詞,自立,*,*,五段・タ行,未然特殊,いきたつ,イキタタン,イキタタン
差しださん	動詞,自立,*,*,五段・サ行,未然特殊,差しだす,サシダサン,サシダサン
詠み込まん	動詞,自立,*,*,五段・マ行,未然特殊,詠み込む,ヨミコマン,ヨミコマン
連れこまん	動詞,自立,*,*,五段・マ行,未然特殊,連れこむ,ツレコマン,ツレコマン
思い及ばん	動詞,自立,*,*,五段・バ行,未然特殊,思い及ぶ,オモイオヨバン,オモイオヨバン
すり減らさん	動詞,自立,*,*,五段・サ行,未然特殊,すり減らす,スリヘラサン,スリヘラサン
飛び立たん	動詞,自立,*,*,五段・タ行,未然特殊,飛び立つ,トビタタン,トビタタン
凹まん	動詞,自立,*,*,五段・マ行,未然特殊,凹む,ヘコマン,ヘコマン
たちならばん	動詞,自立,*,*,五段・バ行,未然特殊,たちならぶ,タチナラバン,タチナラバン
きりはなさん	動詞,自立,*,*,五段・サ行,未然特殊,きりはなす,キリハナサン,キリハナサン
たきこまん	動詞,自立,*,*,五段・マ行,未然特殊,たきこむ,タキコマン,タキコマン
議さん	動詞,自立,*,*,五段・サ行,未然特殊,議す,ギサン,ギサン
取交さん	動詞,自立,*,*,五段・サ行,未然特殊,取交す,トリカワサン,トリカワサン
埋め合わさん	動詞,自立,*,*,五段・サ行,未然特殊,埋め合わす,ウメアワサン,ウメアワサン
恙まん	動詞,自立,*,*,五段・マ行,未然特殊,恙む,ツツマン,ツツマン
掃き出さん	動詞,自立,*,*,五段・サ行,未然特殊,掃き出す,ハキダサン,ハキダサン
決め込まん	動詞,自立,*,*,五段・マ行,未然特殊,決め込む,キメコマン,キメコマン
しわまん	動詞,自立,*,*,五段・マ行,未然特殊,しわむ,シワマン,シワマン
もの申さん	動詞,自立,*,*,五段・サ行,未然特殊,もの申す,モノモウサ,モノモーサ
おぼめかさん	動詞,自立,*,*,五段・サ行,未然特殊,おぼめかす,オボメカサン,オボメカサン
濁さん	動詞,自立,*,*,五段・サ行,未然特殊,濁す,ニゴサン,ニゴサン
燻さん	動詞,自立,*,*,五段・サ行,未然特殊,燻す,イブサン,イブサン
配さん	動詞,自立,*,*,五段・サ行,未然特殊,配す,ハイサン,ハイサン
切り込まん	動詞,自立,*,*,五段・マ行,未然特殊,切り込む,キリコマン,キリコマン
探し出さん	動詞,自立,*,*,五段・サ行,未然特殊,探し出す,サガシダサン,サガシダサン
まき散らさん	動詞,自立,*,*,五段・サ行,未然特殊,まき散らす,マキチラサン,マキチラサン
盛返さん	動詞,自立,*,*,五段・サ行,未然特殊,盛返す,モリカエサン,モリカエサン
かしこさん	動詞,自立,*,*,五段・サ行,未然特殊,かしこす,カシコサン,カシコサン
つのだたん	動詞,自立,*,*,五段・タ行,未然特殊,つのだつ,ツノダタン,ツノダタン
巻き返さん	動詞,自立,*,*,五段・サ行,未然特殊,巻き返す,マキカエサン,マキカエサン
乗り外さん	動詞,自立,*,*,五段・サ行,未然特殊,乗り外す,ノリハズサン,ノリハズサン
聞き及ばん	動詞,自立,*,*,五段・バ行,未然特殊,聞き及ぶ,キキオヨバン,キキオヨバン
腹立たん	動詞,自立,*,*,五段・タ行,未然特殊,腹立つ,ハラダタン,ハラダタン
渇かさん	動詞,自立,*,*,五段・サ行,未然特殊,渇かす,カワカサン,カワカサン
気色ばまん	動詞,自立,*,*,五段・マ行,未然特殊,気色ばむ,ケシキバマン,ケシキバマン
振り放さん	動詞,自立,*,*,五段・サ行,未然特殊,振り放す,フリハナサン,フリハナサン
へがん	動詞,自立,*,*,五段・ガ行,未然特殊,へぐ,ヘガン,ヘガン
張り回さん	動詞,自立,*,*,五段・サ行,未然特殊,張り回す,ハリマワサン,ハリマワサン
突っ込まん	動詞,自立,*,*,五段・マ行,未然特殊,突っ込む,ツッコマン,ツッコマン
よびさまさん	動詞,自立,*,*,五段・サ行,未然特殊,よびさます,ヨビサマサン,ヨビサマサン
ひっぱがさん	動詞,自立,*,*,五段・サ行,未然特殊,ひっぱがす,ヒッパガサン,ヒッパガサン
解き放たん	動詞,自立,*,*,五段・タ行,未然特殊,解き放つ,トキハナタン,トキハナタン
すりへらさん	動詞,自立,*,*,五段・サ行,未然特殊,すりへらす,スリヘラサン,スリヘラサン
すり潰さん	動詞,自立,*,*,五段・サ行,未然特殊,すり潰す,スリツブサン,スリツブサン
責め苛まん	動詞,自立,*,*,五段・マ行,未然特殊,責め苛む,セメサイナマン,セメサイナマン
荒だたん	動詞,自立,*,*,五段・タ行,未然特殊,荒だつ,アラダタン,アラダタン
言い習わさん	動詞,自立,*,*,五段・サ行,未然特殊,言い習わす,イイナラワサ,イーナラワサ
くりこまん	動詞,自立,*,*,五段・マ行,未然特殊,くりこむ,クリコマン,クリコマン
ふくらまん	動詞,自立,*,*,五段・マ行,未然特殊,ふくらむ,フクラマン,フクラマン
聞き返さん	動詞,自立,*,*,五段・サ行,未然特殊,聞き返す,キキカエサン,キキカエサン
のこさん	動詞,自立,*,*,五段・サ行,未然特殊,のこす,ノコサン,ノコサン
騙さん	動詞,自立,*,*,五段・サ行,未然特殊,騙す,ダマサン,ダマサン
逸さん	動詞,自立,*,*,五段・サ行,未然特殊,逸す,イッサン,イッサン
逸さん	動詞,自立,*,*,五段・サ行,未然特殊,逸す,ソラサン,ソラサン
滑り込まん	動詞,自立,*,*,五段・マ行,未然特殊,滑り込む,スベリコマン,スベリコマン
座り込まん	動詞,自立,*,*,五段・マ行,未然特殊,座り込む,スワリコマン,スワリコマン
ひきたたん	動詞,自立,*,*,五段・タ行,未然特殊,ひきたつ,ヒキタタン,ヒキタタン
つまみ出さん	動詞,自立,*,*,五段・サ行,未然特殊,つまみ出す,ツマミダサン,ツマミダサン
なりすまさん	動詞,自立,*,*,五段・サ行,未然特殊,なりすます,ナリスマサン,ナリスマサン
きそくだたん	動詞,自立,*,*,五段・タ行,未然特殊,きそくだつ,キソクダタン,キソクダタン
もたさん	動詞,自立,*,*,五段・サ行,未然特殊,もたす,モタサン,モタサン
いがまん	動詞,自立,*,*,五段・マ行,未然特殊,いがむ,イガマン,イガマン
物申さん	動詞,自立,*,*,五段・サ行,未然特殊,物申す,モノモウサ,モノモーサ
射さん	動詞,自立,*,*,五段・サ行,未然特殊,射す,ササン,ササン
てきさん	動詞,自立,*,*,五段・サ行,未然特殊,てきす,テキサン,テキサン
たたずまん	動詞,自立,*,*,五段・マ行,未然特殊,たたずむ,タタズマン,タタズマン
せりおとさん	動詞,自立,*,*,五段・サ行,未然特殊,せりおとす,セリオトサン,セリオトサン
飲み干さん	動詞,自立,*,*,五段・サ行,未然特殊,飲み干す,ノミホサン,ノミホサン
呑み潰さん	動詞,自立,*,*,五段・サ行,未然特殊,呑み潰す,ノミツブサン,ノミツブサン
たれ込まん	動詞,自立,*,*,五段・マ行,未然特殊,たれ込む,タレコマン,タレコマン
もえたたん	動詞,自立,*,*,五段・タ行,未然特殊,もえたつ,モエタタン,モエタタン
出来さん	動詞,自立,*,*,五段・サ行,未然特殊,出来す,デカサン,デカサン
跳ねかさん	動詞,自立,*,*,五段・サ行,未然特殊,跳ねかす,ハネカサン,ハネカサン
つつみかくさん	動詞,自立,*,*,五段・サ行,未然特殊,つつみかくす,ツツミカクサン,ツツミカクサン
追出さん	動詞,自立,*,*,五段・サ行,未然特殊,追出す,オイダサン,オイダサン
消し飛ばん	動詞,自立,*,*,五段・バ行,未然特殊,消し飛ぶ,ケシトバン,ケシトバン
遊ばさん	動詞,自立,*,*,五段・サ行,未然特殊,遊ばす,アソバサン,アソバサン
使いこまん	動詞,自立,*,*,五段・マ行,未然特殊,使いこむ,ツカイコマン,ツカイコマン
ざさん	動詞,自立,*,*,五段・サ行,未然特殊,ざす,ザサン,ザサン
酌まん	動詞,自立,*,*,五段・マ行,未然特殊,酌む,クマン,クマン
まさん	動詞,自立,*,*,五段・サ行,未然特殊,ます,マサン,マサン
はりめぐらさん	動詞,自立,*,*,五段・サ行,未然特殊,はりめぐらす,ハリメグラサン,ハリメグラサン
騙し込まん	動詞,自立,*,*,五段・マ行,未然特殊,騙し込む,ダマシコマン,ダマシコマン
降り立たん	動詞,自立,*,*,五段・タ行,未然特殊,降り立つ,オリタタン,オリタタン
組みあわさん	動詞,自立,*,*,五段・サ行,未然特殊,組みあわす,クミアワサン,クミアワサン
拗らさん	動詞,自立,*,*,五段・サ行,未然特殊,拗らす,コジラサン,コジラサン
読流さん	動詞,自立,*,*,五段・サ行,未然特殊,読流す,ヨミナガサン,ヨミナガサン
釣出さん	動詞,自立,*,*,五段・サ行,未然特殊,釣出す,ツリダサン,ツリダサン
ゆびささん	動詞,自立,*,*,五段・サ行,未然特殊,ゆびさす,ユビササン,ユビササン
列ばん	動詞,自立,*,*,五段・バ行,未然特殊,列ぶ,ナラバン,ナラバン
ならびたたん	動詞,自立,*,*,五段・タ行,未然特殊,ならびたつ,ナラビタタン,ナラビタタン
うちかたん	動詞,自立,*,*,五段・タ行,未然特殊,うちかつ,ウチカタン,ウチカタン
染込まん	動詞,自立,*,*,五段・マ行,未然特殊,染込む,シミコマン,シミコマン
あおがん	動詞,自立,*,*,五段・ガ行,未然特殊,あおぐ,アオガン,アオガン
離さん	動詞,自立,*,*,五段・サ行,未然特殊,離す,ハナサン,ハナサン
言い暮さん	動詞,自立,*,*,五段・サ行,未然特殊,言い暮す,イイクラサ,イークラサ
食込まん	動詞,自立,*,*,五段・マ行,未然特殊,食込む,クイコマン,クイコマン
繰り込まん	動詞,自立,*,*,五段・マ行,未然特殊,繰り込む,クリコマン,クリコマン
負わさん	動詞,自立,*,*,五段・サ行,未然特殊,負わす,オワサン,オワサン
望まん	動詞,自立,*,*,五段・マ行,未然特殊,望む,ノゾマン,ノゾマン
慣れ親しまん	動詞,自立,*,*,五段・マ行,未然特殊,慣れ親しむ,ナレシタシマン,ナレシタシマン
障まん	動詞,自立,*,*,五段・マ行,未然特殊,障む,ツツマン,ツツマン
割り出さん	動詞,自立,*,*,五段・サ行,未然特殊,割り出す,ワリダサン,ワリダサン
抱きこまん	動詞,自立,*,*,五段・マ行,未然特殊,抱きこむ,ダキコマン,ダキコマン
かきおとさん	動詞,自立,*,*,五段・サ行,未然特殊,かきおとす,カキオトサン,カキオトサン
むつまん	動詞,自立,*,*,五段・マ行,未然特殊,むつむ,ムツマン,ムツマン
洗い出さん	動詞,自立,*,*,五段・サ行,未然特殊,洗い出す,アライダサン,アライダサン
のりこまん	動詞,自立,*,*,五段・マ行,未然特殊,のりこむ,ノリコマン,ノリコマン
なりださん	動詞,自立,*,*,五段・サ行,未然特殊,なりだす,ナリダサン,ナリダサン
おいださん	動詞,自立,*,*,五段・サ行,未然特殊,おいだす,オイダサン,オイダサン
うすらがん	動詞,自立,*,*,五段・ガ行,未然特殊,うすらぐ,ウスラガン,ウスラガン
すまわさん	動詞,自立,*,*,五段・サ行,未然特殊,すまわす,スマワサン,スマワサン
よりたおさん	動詞,自立,*,*,五段・サ行,未然特殊,よりたおす,ヨリタオサン,ヨリタオサン
付込まん	動詞,自立,*,*,五段・マ行,未然特殊,付込む,ツケコマン,ツケコマン
つかいはたさん	動詞,自立,*,*,五段・サ行,未然特殊,つかいはたす,ツカイハタサン,ツカイハタサン
乗出さん	動詞,自立,*,*,五段・サ行,未然特殊,乗出す,ノリダサン,ノリダサン
なで下ろさん	動詞,自立,*,*,五段・サ行,未然特殊,なで下ろす,ナデオロサン,ナデオロサン
附さん	動詞,自立,*,*,五段・サ行,未然特殊,附す,フサン,フサン
追ひ廻さん	動詞,自立,*,*,五段・サ行,未然特殊,追ひ廻す,オイマワサン,オイマワサン
射通さん	動詞,自立,*,*,五段・サ行,未然特殊,射通す,イトオサン,イトオサン
濾さん	動詞,自立,*,*,五段・サ行,未然特殊,濾す,コサン,コサン
えがきださん	動詞,自立,*,*,五段・サ行,未然特殊,えがきだす,エガキダサン,エガキダサン
込まん	動詞,自立,*,*,五段・マ行,未然特殊,込む,コマン,コマン
打直さん	動詞,自立,*,*,五段・サ行,未然特殊,打直す,ウチナオサン,ウチナオサン
手が込まん	動詞,自立,*,*,五段・マ行,未然特殊,手が込む,テガコマン,テガコマン
乗りださん	動詞,自立,*,*,五段・サ行,未然特殊,乗りだす,ノリダサン,ノリダサン
慣らさん	動詞,自立,*,*,五段・サ行,未然特殊,慣らす,ナラサン,ナラサン
切立たん	動詞,自立,*,*,五段・タ行,未然特殊,切立つ,キリタタン,キリタタン
つくりださん	動詞,自立,*,*,五段・サ行,未然特殊,つくりだす,ツクリダサン,ツクリダサン
たのまん	動詞,自立,*,*,五段・マ行,未然特殊,たのむ,タノマン,タノマン
飛出さん	動詞,自立,*,*,五段・サ行,未然特殊,飛出す,トビダサン,トビダサン
いっさん	動詞,自立,*,*,五段・サ行,未然特殊,いっす,イッサン,イッサン
掘りおこさん	動詞,自立,*,*,五段・サ行,未然特殊,掘りおこす,ホリオコサン,ホリオコサン
描き出さん	動詞,自立,*,*,五段・サ行,未然特殊,描き出す,エガキダサン,エガキダサン
繰返さん	動詞,自立,*,*,五段・サ行,未然特殊,繰返す,クリカエサン,クリカエサン
にぎわさん	動詞,自立,*,*,五段・サ行,未然特殊,にぎわす,ニギワサン,ニギワサン
読み返さん	動詞,自立,*,*,五段・サ行,未然特殊,読み返す,ヨミカエサン,ヨミカエサン
引返さん	動詞,自立,*,*,五段・サ行,未然特殊,引返す,ヒキカエサン,ヒキカエサン
編みださん	動詞,自立,*,*,五段・サ行,未然特殊,編みだす,アミダサン,アミダサン
やわらがん	動詞,自立,*,*,五段・ガ行,未然特殊,やわらぐ,ヤワラガン,ヤワラガン
聞きもらさん	動詞,自立,*,*,五段・サ行,未然特殊,聞きもらす,キキモラサン,キキモラサン
澄まん	動詞,自立,*,*,五段・マ行,未然特殊,澄む,スマン,スマン
当てこまん	動詞,自立,*,*,五段・マ行,未然特殊,当てこむ,アテコマン,アテコマン
飲下さん	動詞,自立,*,*,五段・サ行,未然特殊,飲下す,ノミクダサン,ノミクダサン
つまだたん	動詞,自立,*,*,五段・タ行,未然特殊,つまだつ,ツマダタン,ツマダタン
果たさん	動詞,自立,*,*,五段・サ行,未然特殊,果たす,ハタサン,ハタサン
こばまん	動詞,自立,*,*,五段・マ行,未然特殊,こばむ,コバマン,コバマン
立たさん	動詞,自立,*,*,五段・サ行,未然特殊,立たす,タタサン,タタサン
重ね合わさん	動詞,自立,*,*,五段・サ行,未然特殊,重ね合わす,カサネアワサン,カサネアワサン
跳ね返さん	動詞,自立,*,*,五段・サ行,未然特殊,跳ね返す,ハネカエサン,ハネカエサン
ききすごさん	動詞,自立,*,*,五段・サ行,未然特殊,ききすごす,キキスゴサン,キキスゴサン
ハネ出さん	動詞,自立,*,*,五段・サ行,未然特殊,ハネ出す,ハネダサン,ハネダサン
点さん	動詞,自立,*,*,五段・サ行,未然特殊,点す,トモサン,トモサン
点さん	動詞,自立,*,*,五段・サ行,未然特殊,点す,ササン,ササン
はがさん	動詞,自立,*,*,五段・サ行,未然特殊,はがす,ハガサン,ハガサン
勝越さん	動詞,自立,*,*,五段・サ行,未然特殊,勝越す,カチコサン,カチコサン
たらしこまん	動詞,自立,*,*,五段・マ行,未然特殊,たらしこむ,タラシコマン,タラシコマン
打ち殺さん	動詞,自立,*,*,五段・サ行,未然特殊,打ち殺す,ウチコロサン,ウチコロサン
さげすまん	動詞,自立,*,*,五段・マ行,未然特殊,さげすむ,サゲスマン,サゲスマン
出さん	動詞,自立,*,*,五段・サ行,未然特殊,出す,ダサン,ダサン
申し込まん	動詞,自立,*,*,五段・マ行,未然特殊,申し込む,モウシコマ,モーシコマ
負け越さん	動詞,自立,*,*,五段・サ行,未然特殊,負け越す,マケコサン,マケコサン
主立たん	動詞,自立,*,*,五段・タ行,未然特殊,主立つ,オモダタン,オモダタン
うちなおさん	動詞,自立,*,*,五段・サ行,未然特殊,うちなおす,ウチナオサン,ウチナオサン
言いよどまん	動詞,自立,*,*,五段・マ行,未然特殊,言いよどむ,イイヨドマ,イーヨドマ
きりくずさん	動詞,自立,*,*,五段・サ行,未然特殊,きりくずす,キリクズサン,キリクズサン
へらさん	動詞,自立,*,*,五段・サ行,未然特殊,へらす,ヘラサン,ヘラサン
ひっつかまん	動詞,自立,*,*,五段・マ行,未然特殊,ひっつかむ,ヒッツカマン,ヒッツカマン
飛立たん	動詞,自立,*,*,五段・タ行,未然特殊,飛立つ,トビタタン,トビタタン
ちぢかまん	動詞,自立,*,*,五段・マ行,未然特殊,ちぢかむ,チヂカマン,チジカマン
盛り合わさん	動詞,自立,*,*,五段・サ行,未然特殊,盛り合わす,モリアワサン,モリアワサン
まねばん	動詞,自立,*,*,五段・バ行,未然特殊,まねぶ,マネバン,マネバン
なざさん	動詞,自立,*,*,五段・サ行,未然特殊,なざす,ナザサン,ナザサン
うけださん	動詞,自立,*,*,五段・サ行,未然特殊,うけだす,ウケダサン,ウケダサン
はしりこまん	動詞,自立,*,*,五段・マ行,未然特殊,はしりこむ,ハシリコマン,ハシリコマン
付さん	動詞,自立,*,*,五段・サ行,未然特殊,付す,フサン,フサン
突っかえさん	動詞,自立,*,*,五段・サ行,未然特殊,突っかえす,ツッカエサン,ツッカエサン
もちはこばん	動詞,自立,*,*,五段・バ行,未然特殊,もちはこぶ,モチハコバン,モチハコバン
たてなおさん	動詞,自立,*,*,五段・サ行,未然特殊,たてなおす,タテナオサン,タテナオサン
冷かさん	動詞,自立,*,*,五段・サ行,未然特殊,冷かす,ヒヤカサン,ヒヤカサン
切りはずさん	動詞,自立,*,*,五段・サ行,未然特殊,切りはずす,キリハズサン,キリハズサン
織成さん	動詞,自立,*,*,五段・サ行,未然特殊,織成す,オリナサン,オリナサン
うちかえさん	動詞,自立,*,*,五段・サ行,未然特殊,うちかえす,ウチカエサン,ウチカエサン
掘り進まん	動詞,自立,*,*,五段・マ行,未然特殊,掘り進む,ホリススマン,ホリススマン
いやさん	動詞,自立,*,*,五段・サ行,未然特殊,いやす,イヤサン,イヤサン
跨がん	動詞,自立,*,*,五段・ガ行,未然特殊,跨ぐ,マタガン,マタガン
貯め込まん	動詞,自立,*,*,五段・マ行,未然特殊,貯め込む,タメコマン,タメコマン
のみまわさん	動詞,自立,*,*,五段・サ行,未然特殊,のみまわす,ノミマワサン,ノミマワサン
喘がん	動詞,自立,*,*,五段・ガ行,未然特殊,喘ぐ,アエガン,アエガン
裏返さん	動詞,自立,*,*,五段・サ行,未然特殊,裏返す,ウラガエサン,ウラガエサン
継ぎ足さん	動詞,自立,*,*,五段・サ行,未然特殊,継ぎ足す,ツギタサン,ツギタサン
ずれこまん	動詞,自立,*,*,五段・マ行,未然特殊,ずれこむ,ズレコマン,ズレコマン
たたん	動詞,自立,*,*,五段・タ行,未然特殊,たつ,タタン,タタン
壊さん	動詞,自立,*,*,五段・サ行,未然特殊,壊す,コワサン,コワサン
脹らまさん	動詞,自立,*,*,五段・サ行,未然特殊,脹らます,フクラマサン,フクラマサン
のりはずさん	動詞,自立,*,*,五段・サ行,未然特殊,のりはずす,ノリハズサン,ノリハズサン
言い回さん	動詞,自立,*,*,五段・サ行,未然特殊,言い回す,イイマワサ,イーマワサ
こなさん	動詞,自立,*,*,五段・サ行,未然特殊,こなす,コナサン,コナサン
霞まん	動詞,自立,*,*,五段・マ行,未然特殊,霞む,カスマン,カスマン
没さん	動詞,自立,*,*,五段・サ行,未然特殊,没す,ボッサン,ボッサン
食らわさん	動詞,自立,*,*,五段・サ行,未然特殊,食らわす,クラワサン,クラワサン
施さん	動詞,自立,*,*,五段・サ行,未然特殊,施す,ホドコサン,ホドコサン
あらいださん	動詞,自立,*,*,五段・サ行,未然特殊,あらいだす,アライダサン,アライダサン
かざさん	動詞,自立,*,*,五段・サ行,未然特殊,かざす,カザサン,カザサン
しのがん	動詞,自立,*,*,五段・ガ行,未然特殊,しのぐ,シノガン,シノガン
見すかさん	動詞,自立,*,*,五段・サ行,未然特殊,見すかす,ミスカサン,ミスカサン
言い做さん	動詞,自立,*,*,五段・サ行,未然特殊,言い做す,イイナサ,イーナサ
迎え撃たん	動詞,自立,*,*,五段・タ行,未然特殊,迎え撃つ,ムカエウタン,ムカエウタン
もとまん	動詞,自立,*,*,五段・マ行,未然特殊,もとむ,モトマン,モトマン
したおさん	動詞,自立,*,*,五段・サ行,未然特殊,したおす,シタオサン,シタオサン
たらさん	動詞,自立,*,*,五段・サ行,未然特殊,たらす,タラサン,タラサン
暴れ出さん	動詞,自立,*,*,五段・サ行,未然特殊,暴れ出す,アバレダサン,アバレダサン
飲まさん	動詞,自立,*,*,五段・サ行,未然特殊,飲ます,ノマサン,ノマサン
佇まん	動詞,自立,*,*,五段・マ行,未然特殊,佇む,タタズマン,タタズマン
怯まん	動詞,自立,*,*,五段・マ行,未然特殊,怯む,ヒルマン,ヒルマン
ほごさん	動詞,自立,*,*,五段・サ行,未然特殊,ほごす,ホゴサン,ホゴサン
打ち沈まん	動詞,自立,*,*,五段・マ行,未然特殊,打ち沈む,ウチシズマン,ウチシズマン
撲りとばさん	動詞,自立,*,*,五段・サ行,未然特殊,撲りとばす,ナグリトバサン,ナグリトバサン
かき込まん	動詞,自立,*,*,五段・マ行,未然特殊,かき込む,カキコマン,カキコマン
解きあかさん	動詞,自立,*,*,五段・サ行,未然特殊,解きあかす,トキアカサン,トキアカサン
おもだたん	動詞,自立,*,*,五段・タ行,未然特殊,おもだつ,オモダタン,オモダタン
のみ込まん	動詞,自立,*,*,五段・マ行,未然特殊,のみ込む,ノミコマン,ノミコマン
切り出さん	動詞,自立,*,*,五段・サ行,未然特殊,切り出す,キリダサン,キリダサン
もがん	動詞,自立,*,*,五段・ガ行,未然特殊,もぐ,モガン,モガン
食い込まん	動詞,自立,*,*,五段・マ行,未然特殊,食い込む,クイコマン,クイコマン
差出さん	動詞,自立,*,*,五段・サ行,未然特殊,差出す,サシダサン,サシダサン
打あぐまん	動詞,自立,*,*,五段・マ行,未然特殊,打あぐむ,ウチアグマン,ウチアグマン
おこさん	動詞,自立,*,*,五段・サ行,未然特殊,おこす,オコサン,オコサン
ひきおとさん	動詞,自立,*,*,五段・サ行,未然特殊,ひきおとす,ヒキオトサン,ヒキオトサン
突きのめさん	動詞,自立,*,*,五段・サ行,未然特殊,突きのめす,ツキノメサン,ツキノメサン
煮やさん	動詞,自立,*,*,五段・サ行,未然特殊,煮やす,ニヤサン,ニヤサン
組み合わさん	動詞,自立,*,*,五段・サ行,未然特殊,組み合わす,クミアワサン,クミアワサン
揉まん	動詞,自立,*,*,五段・マ行,未然特殊,揉む,モマン,モマン
なげうたん	動詞,自立,*,*,五段・タ行,未然特殊,なげうつ,ナゲウタン,ナゲウタン
申し合わさん	動詞,自立,*,*,五段・サ行,未然特殊,申し合わす,モウシアワサ,モーシアワサ
もらさん	動詞,自立,*,*,五段・サ行,未然特殊,もらす,モラサン,モラサン
のびなやまん	動詞,自立,*,*,五段・マ行,未然特殊,のびなやむ,ノビナヤマン,ノビナヤマン
打ちこまん	動詞,自立,*,*,五段・マ行,未然特殊,打ちこむ,ウチコマン,ウチコマン
おもいださん	動詞,自立,*,*,五段・サ行,未然特殊,おもいだす,オモイダサン,オモイダサン
きりたおさん	動詞,自立,*,*,五段・サ行,未然特殊,きりたおす,キリタオサン,キリタオサン
差し戻さん	動詞,自立,*,*,五段・サ行,未然特殊,差し戻す,サシモドサン,サシモドサン
振り込まん	動詞,自立,*,*,五段・マ行,未然特殊,振り込む,フリコマン,フリコマン
惑わさん	動詞,自立,*,*,五段・サ行,未然特殊,惑わす,マドワサン,マドワサン
つまさきだたん	動詞,自立,*,*,五段・タ行,未然特殊,つまさきだつ,ツマサキダタン,ツマサキダタン
聞きたださん	動詞,自立,*,*,五段・サ行,未然特殊,聞きただす,キキタダサン,キキタダサン
ちなまん	動詞,自立,*,*,五段・マ行,未然特殊,ちなむ,チナマン,チナマン
とびださん	動詞,自立,*,*,五段・サ行,未然特殊,とびだす,トビダサン,トビダサン
跳ね出さん	動詞,自立,*,*,五段・サ行,未然特殊,跳ね出す,ハネダサン,ハネダサン
くわえもたん	動詞,自立,*,*,五段・タ行,未然特殊,くわえもつ,クワエモタン,クワエモタン
雪がん	動詞,自立,*,*,五段・ガ行,未然特殊,雪ぐ,ソソガン,ソソガン
けとばさん	動詞,自立,*,*,五段・サ行,未然特殊,けとばす,ケトバサン,ケトバサン
噴き出さん	動詞,自立,*,*,五段・サ行,未然特殊,噴き出す,フキダサン,フキダサン
ささん	動詞,接尾,*,*,五段・サ行,未然特殊,さす,ササン,ササン
ださん	動詞,非自立,*,*,五段・サ行,未然特殊,だす,ダサン,ダサン
取りくまん	動詞,自立,*,*,五段・マ行,未然特殊,取りくむ,トリクマン,トリクマン
焼かさん	動詞,自立,*,*,五段・サ行,未然特殊,焼かす,ヤカサン,ヤカサン
呑明かさん	動詞,自立,*,*,五段・サ行,未然特殊,呑明かす,ノミアカサン,ノミアカサン
