踏みきん	動詞,自立,*,*,五段・ラ行撥音便,基本形,踏みきる,フミキン,フミキン
轟かせん	動詞,自立,*,*,一段撥音便,基本形,轟かせる,トドロカセン,トドロカセン
仰けん	動詞,自立,*,*,一段撥音便,基本形,仰ける,アオノケン,アオノケン
毒すん	動詞,自立,*,*,サ変・−スル撥音便,基本形,毒する,ドクスン,ドクスン
かかえん	動詞,自立,*,*,一段撥音便,基本形,かかえる,カカエン,カカエン
ほふん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ほふる,ホフン,ホフン
捻ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,捻る,ヒネン,ヒネン
捻ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,捻る,ネジン,ネジン
角張ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,角張る,カクバン,カクバン
いちづけん	動詞,自立,*,*,一段撥音便,基本形,いちづける,イチヅケン,イチズケン
仕込めん	動詞,自立,*,*,一段撥音便,基本形,仕込める,シコメン,シコメン
くいこめん	動詞,自立,*,*,一段撥音便,基本形,くいこめる,クイコメン,クイコメン
あつかえん	動詞,自立,*,*,一段撥音便,基本形,あつかえる,アツカエン,アツカエン
嘱すん	動詞,自立,*,*,サ変・−スル撥音便,基本形,嘱する,ショクスン,ショクスン
けやぶん	動詞,自立,*,*,五段・ラ行撥音便,基本形,けやぶる,ケヤブン,ケヤブン
まるめん	動詞,自立,*,*,一段撥音便,基本形,まるめる,マルメン,マルメン
しびれん	動詞,自立,*,*,一段撥音便,基本形,しびれる,シビレン,シビレン
はぐん	動詞,自立,*,*,五段・ラ行撥音便,基本形,はぐる,ハグン,ハグン
はみ出ん	動詞,自立,*,*,一段撥音便,基本形,はみ出る,ハミデン,ハミデン
裁てん	動詞,自立,*,*,一段撥音便,基本形,裁てる,タテン,タテン
引き下がん	動詞,自立,*,*,五段・ラ行撥音便,基本形,引き下がる,ヒキサガン,ヒキサガン
括れん	動詞,自立,*,*,一段撥音便,基本形,括れる,クビレン,クビレン
引き締まん	動詞,自立,*,*,五段・ラ行撥音便,基本形,引き締まる,ヒキシマン,ヒキシマン
参れん	動詞,自立,*,*,一段撥音便,基本形,参れる,マイレン,マイレン
けおされん	動詞,自立,*,*,一段撥音便,基本形,けおされる,ケオサレン,ケオサレン
洒落れん	動詞,自立,*,*,一段撥音便,基本形,洒落れる,シャレン,シャレン
おもいやん	動詞,自立,*,*,五段・ラ行撥音便,基本形,おもいやる,オモイヤン,オモイヤン
ふとん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ふとる,フトン,フトン
うちまくん	動詞,自立,*,*,五段・ラ行撥音便,基本形,うちまくる,ウチマクン,ウチマクン
明け残ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,明け残る,アケノコン,アケノコン
ならびたてん	動詞,自立,*,*,一段撥音便,基本形,ならびたてる,ナラビタテン,ナラビタテン
書き出せん	動詞,自立,*,*,一段撥音便,基本形,書き出せる,カキダセン,カキダセン
聞きつけん	動詞,自立,*,*,一段撥音便,基本形,聞きつける,キキツケン,キキツケン
つきはなせん	動詞,自立,*,*,一段撥音便,基本形,つきはなせる,ツキハナセン,ツキハナセン
ません	動詞,自立,*,*,一段撥音便,基本形,ませる,マセン,マセン
折り込めん	動詞,自立,*,*,一段撥音便,基本形,折り込める,オリコメン,オリコメン
ふり入れん	動詞,自立,*,*,一段撥音便,基本形,ふり入れる,フリイレン,フリイレン
押し分けん	動詞,自立,*,*,一段撥音便,基本形,押し分ける,オシワケン,オシワケン
見慣れん	動詞,自立,*,*,一段撥音便,基本形,見慣れる,ミナレン,ミナレン
跳ねのけん	動詞,自立,*,*,一段撥音便,基本形,跳ねのける,ハネノケン,ハネノケン
拒めん	動詞,自立,*,*,一段撥音便,基本形,拒める,コバメン,コバメン
貫き通せん	動詞,自立,*,*,一段撥音便,基本形,貫き通せる,ツラヌキトオセン,ツラヌキトーセン
くねん	動詞,自立,*,*,五段・ラ行撥音便,基本形,くねる,クネン,クネン
読み切れん	動詞,自立,*,*,一段撥音便,基本形,読み切れる,ヨミキレン,ヨミキレン
畳み込めん	動詞,自立,*,*,一段撥音便,基本形,畳み込める,タタミコメン,タタミコメン
掛け合えん	動詞,自立,*,*,一段撥音便,基本形,掛け合える,カケアエン,カケアエン
ほぐせん	動詞,自立,*,*,一段撥音便,基本形,ほぐせる,ホグセン,ホグセン
ぜっすん	動詞,自立,*,*,サ変・−スル撥音便,基本形,ぜっする,ゼッスン,ゼッスン
蔵すん	動詞,自立,*,*,サ変・−スル撥音便,基本形,蔵する,ゾウスン,ゾースン
手古摺ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,手古摺る,テコズン,テコズン
まびけん	動詞,自立,*,*,一段撥音便,基本形,まびける,マビケン,マビケン
締めつけん	動詞,自立,*,*,一段撥音便,基本形,締めつける,シメツケン,シメツケン
受けん	動詞,自立,*,*,一段撥音便,基本形,受ける,ウケン,ウケン
立ちどまん	動詞,自立,*,*,五段・ラ行撥音便,基本形,立ちどまる,タチドマン,タチドマン
はいりきん	動詞,自立,*,*,五段・ラ行撥音便,基本形,はいりきる,ハイリキン,ハイリキン
漕げん	動詞,自立,*,*,一段撥音便,基本形,漕げる,コゲン,コゲン
捜しまわん	動詞,自立,*,*,五段・ラ行撥音便,基本形,捜しまわる,サガシマワン,サガシマワン
ゆきわたん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ゆきわたる,ユキワタン,ユキワタン
相入れん	動詞,自立,*,*,一段撥音便,基本形,相入れる,アイイレン,アイイレン
悦べん	動詞,自立,*,*,一段撥音便,基本形,悦べる,ヨロコベン,ヨロコベン
料ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,料る,リョウン,リョーン
吸い寄せん	動詞,自立,*,*,一段撥音便,基本形,吸い寄せる,スイヨセン,スイヨセン
せぐくまん	動詞,自立,*,*,五段・ラ行撥音便,基本形,せぐくまる,セグクマン,セグクマン
よえん	動詞,自立,*,*,一段撥音便,基本形,よえる,ヨエン,ヨエン
阻めん	動詞,自立,*,*,一段撥音便,基本形,阻める,ハバメン,ハバメン
わすれさん	動詞,自立,*,*,五段・ラ行撥音便,基本形,わすれさる,ワスレサン,ワスレサン
隠ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,隠る,コモン,コモン
探し出せん	動詞,自立,*,*,一段撥音便,基本形,探し出せる,サガシダセン,サガシダセン
成さがん	動詞,自立,*,*,五段・ラ行撥音便,基本形,成さがる,ナリサガン,ナリサガン
およげん	動詞,自立,*,*,一段撥音便,基本形,およげる,オヨゲン,オヨゲン
引き換えん	動詞,自立,*,*,一段撥音便,基本形,引き換える,ヒキカエン,ヒキカエン
引き離せん	動詞,自立,*,*,一段撥音便,基本形,引き離せる,ヒキハナセン,ヒキハナセン
さえわたん	動詞,自立,*,*,五段・ラ行撥音便,基本形,さえわたる,サエワタン,サエワタン
抱き起こせん	動詞,自立,*,*,一段撥音便,基本形,抱き起こせる,ダキオコセン,ダキオコセン
しょげかえん	動詞,自立,*,*,五段・ラ行撥音便,基本形,しょげかえる,ショゲカエン,ショゲカエン
取り調べん	動詞,自立,*,*,一段撥音便,基本形,取り調べる,トリシラベン,トリシラベン
捕われん	動詞,自立,*,*,一段撥音便,基本形,捕われる,トラワレン,トラワレン
なん	動詞,自立,*,*,五段・ラ行撥音便,基本形,なる,ナン,ナン
寂すん	動詞,自立,*,*,サ変・−スル撥音便,基本形,寂する,ジャクスン,ジャクスン
おもいあたん	動詞,自立,*,*,五段・ラ行撥音便,基本形,おもいあたる,オモイアタン,オモイアタン
語りかけん	動詞,自立,*,*,一段撥音便,基本形,語りかける,カタリカケン,カタリカケン
引っ越せん	動詞,自立,*,*,一段撥音便,基本形,引っ越せる,ヒッコセン,ヒッコセン
刻めん	動詞,自立,*,*,一段撥音便,基本形,刻める,キザメン,キザメン
世ばなれん	動詞,自立,*,*,一段撥音便,基本形,世ばなれる,ヨバナレン,ヨバナレン
ひっくくん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ひっくくる,ヒッククン,ヒッククン
そぼぬれん	動詞,自立,*,*,一段撥音便,基本形,そぼぬれる,ソボヌレン,ソボヌレン
織り込めん	動詞,自立,*,*,一段撥音便,基本形,織り込める,オリコメン,オリコメン
仰け反ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,仰け反る,ノケゾン,ノケゾン
けがれん	動詞,自立,*,*,一段撥音便,基本形,けがれる,ケガレン,ケガレン
あざけん	動詞,自立,*,*,五段・ラ行撥音便,基本形,あざける,アザケン,アザケン
引っ括めん	動詞,自立,*,*,一段撥音便,基本形,引っ括める,ヒックルメン,ヒックルメン
ひょうげん	動詞,自立,*,*,一段撥音便,基本形,ひょうげる,ヒョウゲン,ヒョーゲン
ひょうげん	動詞,自立,*,*,一段撥音便,基本形,ひょうげる,ヒョウゲン,ヒョウゲン
延べん	動詞,自立,*,*,一段撥音便,基本形,延べる,ノベン,ノベン
かけ隔てん	動詞,自立,*,*,一段撥音便,基本形,かけ隔てる,カケヘダテン,カケヘダテン
かすめ取ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,かすめ取る,カスメトン,カスメトン
ほこん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ほこる,ホコン,ホコン
疲れはてん	動詞,自立,*,*,一段撥音便,基本形,疲れはてる,ツカレハテン,ツカレハテン
くわわん	動詞,自立,*,*,五段・ラ行撥音便,基本形,くわわる,クワワン,クワワン
